,Unnamed: 0,id,playerName,situation,teamId,playerId,x,y,min,period,isOwnGoal,isBlocked,isOnTarget,isSavedOffLine,isFromInsideBox,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,box,homeTeamId,awayTeamId,homeTeamName,awayTeamName,homeScore,awayScore,matchId,matchDate,teamColor,teamColorDark,onGoalShot.x,onGoalShot.y,onGoalShot.zoomRatio,minAdded,,min1,Unnamed: 2_level_0_Squad,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 2_Player,SCA 2_Event,onGoalShot.x.rescaled,onGoalShot.y.rescaled,goalxZone,goalyZone,goalZone_Left Bottom,goalZone_Left Top,goalZone_Middle Bottom,goalZone_Middle Top,goalZone_Right Bottom,goalZone_Right Top,predicted_xGOTzone,eventType_AttemptSaved,eventType_Goal,eventType_Miss,eventType_Post,shotType_Header,shotType_LeftFoot,shotType_OtherBodyParts,shotType_RightFoot,SCA 1_Event_Fouled,SCA 1_Event_Interception,SCA 1_Event_Pass (Dead),SCA 1_Event_Pass (Live),SCA 1_Event_Shot,SCA 1_Event_Tackle,SCA 1_Event_Take-On,jpsxg,jpsxg - psxg,goal_loc_jpsxg,goal_loc_jpsxg - jpsxg
27,,2761676695,Luis Diaz,RegularPlay,8650,860914,97.3771929818,35.29625,23,FirstHalf,False,False,True,False,True,,,32.24625,0.609999997,0.34,0.55,InsideBox,8586,8650,Tottenham Hotspur,Liverpool,3,6,4506461,2024-12-22T16:30:00Z,#911712,#911712,1.46395502645503,0.161375660582011,1.0,,9,23,Liverpool,Goal,9.0,Head,,Trent Alexander-Arnold,Joe Gomez,Pass (Live),1.46395502645503,0.161375660582011,Right,Bottom,0,0,0,0,1,0,0.2554656733374455,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.42215341691911434,-0.1278465830808857,0.42105994757302195,-0.0010934693460923905
28,,2761679023,Luis Diaz,RegularPlay,8650,860914,85.9235294112,26.1696875,26,FirstHalf,False,False,True,False,False,103.577586207,34.0,35.6775,0.2825263144,0.04,0.07,OutsideBox,8586,8650,Tottenham Hotspur,Liverpool,3,6,4506461,2024-12-22T16:30:00Z,#911712,#911712,0.556216931216931,0.0747424112169312,1.0,,11,26,Liverpool,Saved,22.0,Left Foot,,Luis Díaz,Trent Alexander-Arnold,Pass (Live),0.556216931216931,0.0747424112169312,Left,Bottom,1,0,0,0,0,0,0.14359357429754438,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.2307568702230861,0.1607568702230861,0.24641361335343104,0.01565674313034493
29,,2761722679,Luis Diaz,FromCorner,8650,860914,96.5087719289,40.217380953,64,SecondHalf,False,False,True,False,True,103.2931034484,34.68625,32.39875,0.7319999964,0.1,0.2,InsideBox,8586,8650,Tottenham Hotspur,Liverpool,3,6,4506461,2024-12-22T16:30:00Z,#911712,#911712,1.42361111111111,0.193650792698413,1.0,,24,64,Liverpool,Saved,10.0,Right Foot,Volley,Alexis Mac Allister,Dominik Szoboszlai,Pass (Live),1.42361111111111,0.193650792698413,Right,Bottom,0,0,0,0,1,0,0.25029777591480784,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5130854884875705,0.3130854884875705,0.48584279513498224,-0.027242693352588276
31,,2761737887,Luis Diaz,RegularPlay,8650,860914,86.5676470584,45.752356684,84,SecondHalf,False,False,True,False,False,103.4827586208,35.75375,32.78,0.2439999988,0.05,0.06,OutsideBox,8586,8650,Tottenham Hotspur,Liverpool,3,6,4506461,2024-12-22T16:30:00Z,#911712,#911712,1.32275132275132,0.0645502642328042,1.0,,30,84,Liverpool,Saved,22.0,Right Foot,,Diogo Jota,Trent Alexander-Arnold,Pass (Live),1.32275132275132,0.0645502642328042,Right,Bottom,0,0,0,0,1,0,0.16443020141612105,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.2801359814616904,0.2201359814616904,0.2940322530991262,0.013896271637435786
32,,2761739181,Luis Diaz,RegularPlay,8650,860914,97.3771929818,23.5788535077,85,SecondHalf,False,False,True,False,True,,,35.525,0.3274736826,0.16,0.4,InsideBox,8586,8650,Tottenham Hotspur,Liverpool,3,6,4506461,2024-12-22T16:30:00Z,#911712,#911712,0.596560846560845,0.0866332493650794,1.0,,32,85,Liverpool,Goal,11.0,Right Foot,,Mohamed Salah,Dominik Szoboszlai,Pass (Live),0.596560846560845,0.0866332493650794,Left,Bottom,1,0,0,0,0,0,0.24451660438640105,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.47924048981349476,0.07924048981349474,0.48701774287017635,0.007777253056681588
33,,2762814885,Luis Diaz,FastBreak,8650,860914,96.7982456132,46.7332484042,23,FirstHalf,False,False,True,False,True,103.4827586208,36.8975,33.46625,1.9519999904,0.05,0.11,InsideBox,8654,8650,West Ham United,Liverpool,0,5,4506502,2024-12-29T17:15:00Z,#911712,#911712,1.1412037037037,0.516402113862434,1.0,,4,23,Liverpool,Saved,13.0,Right Foot,,Curtis Jones,Alexis Mac Allister,Pass (Live),1.1412037037037,0.516402113862434,Middle,Top,0,0,0,1,0,0,0.16900002665692535,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.18229095259675654,0.07229095259675654,0.15999718276713532,-0.022293769829621224
34,,2762816891,Luis Diaz,RegularPlay,8650,860914,91.9,35.9825,30,FirstHalf,False,False,True,False,True,,,35.83,0.0834736838,0.12,0.28,InsideBox,8654,8650,West Ham United,Liverpool,0,5,4506502,2024-12-29T17:15:00Z,#911712,#911712,0.515873015873016,0.0220829851322751,1.0,,6,30,Liverpool,Goal,16.0,Right Foot,,,,,0.515873015873016,0.0220829851322751,Left,Bottom,1,0,0,0,0,0,0.20212487826953512,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.45658460208110696,0.17658460208110693,0.49116316956111516,0.034578567480008204
41,,2766437255,Luis Diaz,RegularPlay,8650,860914,92.0,30.22,42,FirstHalf,False,False,True,False,True,102.9137931036,33.61875,32.24625,0.4045263138,0.07,0.24,InsideBox,9937,8650,Brentford,Liverpool,0,2,4506524,2025-01-18T15:00:00Z,#911712,#911712,1.46395502645503,0.107017543333333,1.0,,22,42,Liverpool,Saved,15.0,Right Foot,,Trent Alexander-Arnold,Dominik Szoboszlai,Pass (Live),1.46395502645503,0.107017543333333,Right,Bottom,0,0,0,0,1,0,0.20477649333550646,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.3932147349919655,0.15321473499196553,0.3957886059421173,0.0025738709501517687
44,,2766498251,Luis Diaz,RegularPlay,8650,860914,91.3,36.135,63,SecondHalf,False,False,True,False,True,103.1982758622,33.61875,35.525,0.4045263138,0.14,0.38,InsideBox,9937,8650,Brentford,Liverpool,0,2,4506524,2025-01-18T15:00:00Z,#911712,#911712,0.596560846560845,0.107017543333333,1.0,,31,63,Liverpool,Saved,16.0,Right Foot,,Ryan Gravenberch,Ibrahima Konaté,Pass (Live),0.596560846560845,0.107017543333333,Left,Bottom,1,0,0,0,0,0,0.19684684888207243,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.3392056934088619,-0.040794306591138085,0.34433412765883903,0.00512843424997711
46,,2771167729,Luis Diaz,RegularPlay,8650,860914,99.0175438595,35.60125,32,FirstHalf,False,False,True,False,True,103.577586207,35.6775,35.3725,0.2439999988,0.5,0.4,InsideBox,8678,8650,AFC Bournemouth,Liverpool,0,2,4506613,2025-02-01T15:00:00Z,#911712,#911712,0.636904761904761,0.0645502642328042,1.0,,12,32,Liverpool,Saved,7.0,Head,,Andrew Robertson,Dominik Szoboszlai,Pass (Live),0.636904761904761,0.0645502642328042,Left,Bottom,1,0,0,0,0,0,0.26548658494463795,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.4196328439655363,0.019632843965536273,0.4476056704111502,0.027972826445613885
48,,2777224993,Luis Diaz,FastBreak,8650,860914,97.6666666661,36.745,15,FirstHalf,False,False,True,False,True,,,33.31375,0.160526315,0.16,0.22,InsideBox,8650,8602,Liverpool,Wolverhampton Wanderers,2,1,4506628,2025-02-16T14:00:00Z,#911712,#911712,1.18154761904762,0.0424672791005291,1.0,,2,15,Liverpool,Goal,9.0,Other,,Luis Díaz,Diogo Jota,Pass (Live),1.18154761904762,0.0424672791005291,Middle,Bottom,0,0,1,0,0,0,0.23798916742521303,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.34689134670168226,0.12689134670168226,0.3980175259279064,0.051126179226224144
49,,2780328253,Luis Diaz,RegularPlay,8650,860914,92.9,49.7459872591,64,SecondHalf,False,False,True,False,True,103.9568965518,35.75375,32.39875,1.7079999916,0.03,0.09,InsideBox,8456,8650,Manchester City,Liverpool,0,2,4506640,2025-02-23T16:30:00Z,#911712,#911712,1.42361111111111,0.45185184962963,1.0,,16,64,Liverpool,Saved,18.0,Right Foot,,Andrew Robertson,Alexis Mac Allister,Pass (Live),1.42361111111111,0.45185184962963,Right,Top,0,0,0,0,0,1,0.0910476832171983,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.2926147716833529,0.20261477168335293,0.2741683801892477,-0.018446391494105208
53,,2785415881,Luis Diaz,RegularPlay,8650,860914,94.3859649107,47.15363057,53,SecondHalf,False,False,True,False,True,104.1465517242,36.05875,34.07625,1.4639999928,0.02,0.02,InsideBox,8650,8466,Liverpool,Southampton,3,1,4506347,2025-03-08T15:00:00Z,#911712,#911712,0.979828042328042,0.387301585396825,1.0,,23,53,Liverpool,Saved,15.0,Left Foot,,Luis Díaz,Mohamed Salah,Pass (Live),0.979828042328042,0.387301585396825,Middle,Top,0,0,0,1,0,0,0.14767854185783666,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.14933026714868786,0.12933026714868787,0.1472619857490746,-0.0020682813996132643
58,,2797266235,Luis Diaz,RegularPlay,8650,860914,92.0,32.24625,72,SecondHalf,False,False,True,False,True,,,36.135,0.3659999982,0.23,0.61,InsideBox,9879,8650,Fulham,Liverpool,3,2,4506377,2025-04-06T13:00:00Z,#911712,#911712,0.435185185185184,0.0968253963492064,1.0,,19,72,Liverpool,Goal,15.0,Right Foot,,Conor Bradley,Curtis Jones,Pass (Live),0.435185185185184,0.0968253963492064,Left,Bottom,1,0,0,0,0,0,0.20105348722079203,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.35290149049647956,-0.2570985095035204,0.3598562307194071,0.006954740222927525
59,,2800650551,Luis Diaz,RegularPlay,8650,860914,92.9,47.9943949016,6,FirstHalf,False,False,True,False,True,103.9568965518,36.05875,32.55125,0.2439999988,0.04,0.09,InsideBox,8650,8654,Liverpool,West Ham United,2,1,4506387,2025-04-13T13:00:00Z,#911712,#911712,1.3832671957672,0.0645502642328042,1.0,,0,6,Liverpool,Saved,17.0,Right Foot,,Luis Díaz,Diogo Jota,Pass (Live),1.3832671957672,0.0645502642328042,Right,Bottom,0,0,0,0,1,0,0.2221591371309685,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.4193929943303327,0.32939299433033276,0.4268722205128457,0.007479226182512955
60,,2800667829,Luis Diaz,RegularPlay,8650,860914,97.570175438,37.78,18,FirstHalf,False,False,True,False,True,,,34.915,0.1219999994,0.57,0.96,InsideBox,8650,8654,Liverpool,West Ham United,2,1,4506387,2025-04-13T13:00:00Z,#911712,#911712,0.757936507936506,0.0322751321164021,1.0,,5,18,Liverpool,Goal,9.0,Right Foot,,Mohamed Salah,Ibrahima Konaté,Pass (Live),0.757936507936506,0.0322751321164021,Middle,Bottom,0,0,1,0,0,0,0.2376716438862133,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.21845884413885913,-0.7415411558611409,0.2325231897649646,0.014064345626105479
