Unnamed: 0,player,xg_diff_19,xg_diff_20,xg_diff_21,xg_diff_22,xg_diff_23,shots_19,shots_20,shots_21,shots_22,shots_23,total_shots
180,Rodri,0.1978,0.0686,0.23,0.1421,0.1409,24.0,31.0,45.0,50.0,62.0,212.0
190,Jeffrey Schlupp,0.0967,0.087,0.1211,0.0944,0.1191,18.0,18.0,33.0,28.0,19.0,116.0
196,Scott McTominay,0.086,0.1514,0.1143,0.005,0.0721,29.0,26.0,27.0,13.0,44.0,139.0
198,Adama Traoré,0.145,0.0615,0.048,0.1743,0.1271,43.0,43.0,23.0,19.0,11.0,139.0
199,Aaron Wan-Bissaka,0.08,0.1775,0.12,0.035,-0.025,7.0,7.0,5.0,10.0,3.0,32.0
204,Alex Iwobi,0.074,0.1567,0.18,0.1573,0.1485,23.0,15.0,24.0,42.0,55.0,159.0
209,Mateo Kovačić,0.128,0.1175,0.2067,-0.01,0.132,21.0,23.0,22.0,23.0,22.0,111.0
231,Matt Doherty,0.1713,-0.12,0.2867,0.125,0.1733,35.0,3.0,16.0,10.0,9.0,73.0
233,Sean Longstaff,0.2314,-0.016,0.35,0.1614,0.1207,25.0,15.0,15.0,33.0,41.0,129.0
234,Son Heung-min,0.1416,0.174,0.1519,0.1474,0.1321,80.0,67.0,86.0,81.0,83.0,397.0
257,Michael Keane,0.115,0.08,0.1733,0.1175,-0.015,14.0,16.0,20.0,14.0,6.0,70.0
282,Bukayo Saka,0.215,0.1295,0.1162,0.1259,0.1497,13.0,61.0,95.0,86.0,102.0,357.0
292,Danny Welbeck,0.1667,0.1507,0.199,0.0986,0.19,22.0,34.0,43.0,62.0,41.0,202.0
293,Pedro Neto,0.1633,0.0986,0.1775,0.14,0.1008,17.0,61.0,17.0,17.0,36.0,148.0
303,Gabriel Martinelli,0.162,0.0488,0.1567,0.17,0.0785,12.0,20.0,51.0,79.0,58.0,220.0
319,Adam Lallana,0.32,0.11,0.1225,0.242,0.095,5.0,22.0,19.0,8.0,11.0,65.0
321,John Stones,0.14,0.084,0.058,0.1833,0.125,6.0,15.0,9.0,11.0,4.0,45.0
322,Phil Foden,0.0936,0.1405,0.145,0.1632,0.1856,34.0,45.0,57.0,46.0,105.0,287.0
325,Reece James,0.1067,0.0864,0.222,0.0375,0.2,18.0,34.0,37.0,16.0,7.0,112.0
357,Curtis Jones,0.11,0.1167,0.0343,0.124,0.102,6.0,19.0,20.0,15.0,19.0,79.0
381,Eddie Nketiah,0.204,0.108,0.1377,0.1407,0.1267,15.0,12.0,29.0,41.0,38.0,135.0
390,Tomáš Souček,0.1186,0.0778,0.2091,0.1954,0.1653,20.0,64.0,45.0,34.0,43.0,206.0
391,Bruno Fernandes,0.1229,0.1082,0.0634,0.11,0.1806,40.0,111.0,87.0,90.0,90.0,418.0
396,Willy Boly,0.06,0.0633,-0.08,0.04,0.2783,5.0,15.0,2.0,2.0,14.0,38.0
403,Jarrod Bowen,0.07,0.1644,0.1312,0.1152,0.2065,24.0,55.0,79.0,73.0,84.0,315.0
404,Alexis Mac Allister,0.12,0.06,0.1456,0.0854,0.3238,7.0,24.0,57.0,80.0,43.0,211.0
