,player,xg_diff_19,xg_diff_20,xg_diff_21,xg_diff_22,xg_diff_23,shots_19,shots_20,shots_21,shots_22,shots_23,total_shots
333,James Tomkins,0.405,0.26,0.255,-0.06,,9.0,2.0,4.0,3.0,,
334,DeAndre Yedlin,0.18,,,,,1.0,2.0,,,,
335,Lewis Cook,0.08,,,,0.085,9.0,,,6.0,12.0,
336,Simon Francis,,,,,,3.0,,,,,
337,Phil Bardsley,0.175,,,,,11.0,3.0,,,,
338,Mason Holgate,0.072,0.0267,0.15,,,11.0,5.0,7.0,4.0,3.0,30.0
339,Djibril Sidibé,0.1933,,,,,12.0,,,,,
340,Héctor Bellerín,0.295,0.068,,,,7.0,15.0,,,,
341,Brandon Williams,0.22,0.07,0.29,,,6.0,1.0,4.0,,,
342,Angeliño,,,,,,5.0,,,,,
343,Craig Cathcart,-0.02,,,,,2.0,,3.0,,,
344,Michael Obafemi,0.178,,,,,12.0,,,,2.0,
345,Mesut Özil,0.1033,,,,,9.0,,,,,
346,Dennis Srbeny,0.35,,,,,2.0,,,,,
347,Ezri Konsa,0.1125,0.1329,0.245,,0.0617,11.0,22.0,15.0,8.0,19.0,75.0
348,Dan Gosling,0.1383,,0.65,,,13.0,,2.0,,,
349,Shane Long,0.0715,0.02,0.164,,,33.0,2.0,9.0,,,
350,Shkodran Mustafi,0.2033,,,,,11.0,,,,,
351,Victor Lindelöf,0.77,-0.09,-0.01,,0.1025,6.0,4.0,3.0,3.0,6.0,22.0
352,Henri Lansbury,,,,,,2.0,,,,,
353,Kelechi Iheanacho,0.146,0.1429,0.1417,0.0777,,36.0,58.0,31.0,38.0,,
354,Ahmed Elmohamady,0.45,0.17,,,,5.0,9.0,,,,
355,Domingos Quina,-0.01,,,,,1.0,,,,,
356,Naby Keïta,0.1471,0.005,0.1286,,,12.0,9.0,26.0,10.0,,
357,Curtis Jones,0.11,0.1167,0.0343,0.124,0.102,6.0,19.0,20.0,15.0,19.0,79.0
358,Javier Manquillo,,,0.215,,,1.0,1.0,4.0,,,
359,Nathan Holland,0.29,,,,,1.0,,,,,
360,Kortney Hause,0.0867,0.17,0.2,,,20.0,5.0,2.0,,,
361,Dwight Gayle,0.152,0.2133,,,,23.0,16.0,2.0,,,
362,Christoph Zimmermann,0.3,,0.08,,,6.0,,2.0,,,
363,Jack Stephens,0.01,-0.055,,0.4,,6.0,6.0,,2.0,,
364,Leighton Baines,,,,,,1.0,,,,,
365,Jan Vertonghen,0.105,,,,,4.0,,,,,
366,Martin Kelly,,,,,,2.0,,,,,
367,Florian Lejeune,0.1667,,,,,4.0,,,,,
368,Bernardo,0.035,,,,,7.0,4.0,,,,
369,Connor Wickham,0.055,,,,,3.0,,,,,
370,Jack Simpson,,,,,,1.0,,,,,
371,Alireza Jahanbakhsh,0.175,0.13,,,,12.0,18.0,,,,
372,Junior Stanislas,0.175,,,,,17.0,,,1.0,,
373,Wes Morgan,0.18,,,,,4.0,,,,,
374,Albian Ajeti,,,,,,3.0,,,,,
375,Ryan Sessegnon,,,0.03,0.2117,,1.0,,6.0,18.0,,
376,Muhamed Bešić,0.085,,,,,4.0,,,,,
377,Jonathan Kodjia,,,,,,2.0,,,,,
378,Charlie Taylor,,0.1,,,0.07,1.0,3.0,7.0,,10.0,
379,Jaïro Riedewald,,-0.015,,,,3.0,8.0,,1.0,1.0,
380,Japhet Tanganga,0.02,,0.06,,,3.0,2.0,7.0,,,
381,Eddie Nketiah,0.204,0.108,0.1377,0.1407,0.1267,15.0,12.0,29.0,41.0,38.0,135.0
382,Anthony Gordon,0.01,,0.0889,0.1172,0.0943,6.0,,44.0,34.0,80.0,
383,Danny Drinkwater,,,,,,2.0,,,,,
384,Ondrej Duda,0.0833,,,,,10.0,,,,,
385,Nampalys Mendy,0.07,0.075,0.31,0.14,,1.0,4.0,1.0,2.0,,
386,Lukas Rupp,0.125,,0.025,,,4.0,,12.0,,,
387,Phil Jones,-0.04,,,,,2.0,,,,,
388,Takumi Minamino,0.165,0.1171,0.2325,,,8.0,20.0,7.0,,,
389,Mbwana Samatta,-0.02,,,,,17.0,,,,,
390,Tomáš Souček,0.1186,0.0778,0.2091,0.1954,0.1653,20.0,64.0,45.0,34.0,43.0,206.0
391,Bruno Fernandes,0.1229,0.1082,0.0634,0.11,0.1806,40.0,111.0,87.0,90.0,90.0,418.0
392,Daniel Podence,0.0567,0.1629,0.0627,0.0447,,10.0,32.0,35.0,43.0,,
393,Diogo Dalot,,,0.1325,0.0443,0.1186,1.0,,13.0,22.0,30.0,
394,Steven Bergwijn,0.1125,0.1,0.18,,,9.0,15.0,19.0,,,
395,Sander Berge,0.33,0.03,,,0.1167,5.0,9.0,,,25.0,
396,Willy Boly,0.06,0.0633,-0.08,0.04,0.2783,5.0,15.0,2.0,2.0,14.0,38.0
397,Odion Ighalo,0.0533,,,,,7.0,,,,,
398,Andrew Surman,,,,,,1.0,,,,,
399,Nabil Bentaleb,,,,,,4.0,,,,,
400,William Smallbone,,0.32,,,,6.0,1.0,1.0,,,
401,Tahith Chong,,,,,0.1786,1.0,,,,31.0,
402,Joe Gomez,,,,0.18,0.075,1.0,,1.0,6.0,19.0,
403,Jarrod Bowen,0.07,0.1644,0.1312,0.1152,0.2065,24.0,55.0,79.0,73.0,84.0,315.0
404,Alexis Mac Allister,0.12,0.06,0.1456,0.0854,0.3238,7.0,24.0,57.0,80.0,43.0,211.0
405,Faustino Anjorin,,,,,,1.0,,,,,
406,Billy Gilmour,,,0.0733,0.03,0.12,1.0,1.0,18.0,6.0,25.0,51.0
407,Timm Klose,,,,,,3.0,,,,,
408,Adam Idah,0.035,,0.225,,,6.0,,14.0,,,
409,Nathan Tella,-0.01,0.105,0.164,,,1.0,17.0,12.0,,,
410,Gedson Fernandes,,,,,,1.0,,,,,
411,Jeremy Ngakia,0.04,,,,,1.0,,5.0,,,
412,Ruben Loftus-Cheek,,0.0288,0.0267,0.06,,4.0,35.0,19.0,9.0,,
413,Leroy Sané,,,,,,2.0,,,,,
414,Neco Williams,0.03,,,0.1686,0.025,7.0,2.0,,25.0,15.0,
415,Josh Brownhill,,0.0243,0.1033,,0.1327,6.0,34.0,29.0,,28.0,
416,James Justin,,0.22,0.16,,,7.0,10.0,5.0,5.0,,
417,David Brooks,0.36,,,-0.02,0.02,6.0,,,5.0,13.0,
418,Valentino Lazaro,0.63,,,,,4.0,,,,,
419,Ryan Fredericks,,0.1,,,,3.0,4.0,,,,
420,Indiana Vassilev,,,,,,1.0,,,,,
421,Kasper Schmeichel,,,,,,1.0,,,,,
422,Tommy Doyle,0.0,,,,0.1833,1.0,,,,14.0,
423,Richairo Živković,,,,,,1.0,,,,,
424,Ben Osborn,0.4,0.1775,,,,3.0,9.0,,,4.0,
425,Tariq Lamptey,,0.215,0.1075,,,2.0,6.0,19.0,5.0,6.0,38.0
426,Eric García,-0.03,,,,,2.0,2.0,,,,
427,Sam Surridge,,,,0.035,,2.0,,,9.0,,
428,Kevin Long,,,,,,2.0,2.0,4.0,,,
429,Jake Vokins,,,,,,1.0,,,,,
430,João Pedro,,,0.1056,,0.114,1.0,,47.0,,70.0,
431,Lloyd Kelly,,,,,0.09,1.0,,,3.0,4.0,
432,George Hirst,0.07,,,,,3.0,,,,,
433,Timothy Fosu-Mensah,,,,,,1.0,1.0,,,,
434,Ben Johnson,,0.51,0.42,0.19,0.07,1.0,3.0,5.0,2.0,6.0,17.0
435,Rob Holding,,0.01,0.42,0.035,,2.0,14.0,4.0,5.0,,
436,Josh Martin,-0.05,,,,,1.0,,,,,
437,Denis Odoi,,0.09,,,,,2.0,,,,
438,Neeskens Kebano,,,,0.03,,,6.0,,9.0,,
439,Mohamed Elneny,,0.055,0.25,,0.0,,9.0,8.0,,2.0,
440,Gabriel Magalhães,,-0.0025,0.04,0.06,0.083,,16.0,29.0,32.0,31.0,
441,Aboubakar Kamara,,0.275,,,,,4.0,,,,
442,Aleksandar Mitrović,,0.0605,,0.1948,0.08,,57.0,,85.0,2.0,
443,Bobby Reid,,0.2188,,0.179,0.2462,,34.0,,31.0,33.0,
444,Jack Harrison,,0.16,0.2076,0.1814,0.0789,,45.0,43.0,39.0,34.0,
445,Patrick Bamford,,0.1393,0.05,0.15,,,105.0,20.0,48.0,,
446,Mateusz Klich,,0.1144,0.0606,0.46,,,34.0,42.0,4.0,,
447,Kalvin Phillips,,0.186,0.07,,-0.005,,15.0,15.0,6.0,5.0,
448,Robin Koch,,0.01,0.09,0.0225,,,9.0,13.0,17.0,,
449,Grady Diangana,,0.085,,,,,14.0,,,,
450,Matheus Pereira,,0.1513,,,,,61.0,,,,
451,Darnell Furlong,,0.136,,,,,26.0,,,,
452,Timothy Castagne,,0.24,0.1567,0.022,0.0475,,8.0,7.0,19.0,14.0,
453,Kyle Edwards,,-0.01,,,,,2.0,,,,
454,Hal Robson-Kanu,,0.125,,,,,13.0,,,,
455,James Rodríguez,,0.1867,,,,,37.0,,,,
456,Timo Werner,,0.0997,0.0812,,0.17,,79.0,45.0,,29.0,
457,Jake Livermore,,,,,,,5.0,,,,
458,Allan,,0.095,0.0867,,,,7.0,7.0,,,
459,Joe Bryan,,0.035,,,,,8.0,,,,
460,Hélder Costa,,0.1167,,,,,16.0,1.0,,,
461,Michael Hector,,,,,,,1.0,,,,
462,Harrison Reed,,0.095,,0.1971,0.23,,13.0,,20.0,9.0,
463,Andre-Frank Zambo Anguissa,,0.035,,,,,34.0,,,,
464,Ezgjan Alioski,,0.2425,,,,,25.0,,,,
465,Tyler Roberts,,0.0658,0.1475,,,,26.0,30.0,,,
466,Donny van de Beek,,0.57,0.155,,,,2.0,7.0,2.0,1.0,
467,Thiago Alcántara,,0.1,0.0117,0.04,,,22.0,25.0,10.0,,
468,Jimmy Dunne,,0.25,,,,,7.0,,,,
469,Ollie Watkins,,0.126,0.0952,0.1036,0.1849,,95.0,76.0,84.0,107.0,
470,Matty Cash,,0.055,0.0946,0.38,0.1379,,9.0,37.0,7.0,33.0,
471,Ethan Ampadu,,0.115,,,,,7.0,,,,
472,Eberechi Eze,,0.1431,-0.09,0.2168,0.1355,,37.0,10.0,70.0,82.0,
473,Kai Havertz,,0.1344,0.0922,0.1348,0.1281,,33.0,56.0,70.0,68.0,
474,Kyle Bartley,,0.208,,,,,14.0,,,,
475,Romaine Sawyers,,,,,,,4.0,,,,
476,Matt Phillips,,0.089,,,,,22.0,,,,
477,Luke Ayling,,0.1167,0.2433,-0.108,,,24.0,19.0,24.0,,
478,Jack Robinson,,,,,0.22,,6.0,,,14.0,
479,Oliver Burke,,0.1717,,,,,25.0,,,,
480,Stuart Dallas,,0.205,0.0975,,,,48.0,30.0,,,
481,Liam Cooper,,0.1225,0.1,-0.035,,,15.0,6.0,10.0,,
482,Rodrigo,,0.1128,0.1529,0.1512,,,46.0,46.0,66.0,,
483,Ian Poveda,,0.02,,,,,5.0,,,,
484,Liam Delap,,,,,,,1.0,,,,
485,Ferrán Torres,,0.1293,0.1,,,,36.0,13.0,,,
486,Fábio Silva,,0.0919,0.148,,0.1233,,47.0,19.0,,7.0,
487,Ivan Cavaleiro,,0.0933,,,,,45.0,,,,
488,Tom Cairney,,0.24,,0.445,0.11,,12.0,,21.0,17.0,
489,Mamadou Sakho,,,,,,,1.0,,,,
490,Rúben Dias,,0.0733,0.09,0.025,0.015,,14.0,18.0,10.0,20.0,
491,Dara O'Shea,,,,,0.204,,3.0,,,19.0,
492,Antonee Robinson,,0.0475,,,0.1629,,10.0,,3.0,16.0,
493,Nélson Semedo,,0.1073,0.1175,,-0.005,,23.0,19.0,9.0,17.0,
494,Maxime Le Marchand,,,,,,,1.0,,,,
495,Sergio Reguilón,,0.0525,0.1678,,-0.0367,,20.0,21.0,,17.0,
496,Bertrand Traoré,,0.1843,0.19,0.42,,,64.0,8.0,9.0,,
497,Ademola Lookman,,0.0623,0.0683,,,,68.0,26.0,,,
498,Tosin Adarabioyo,,0.04,,0.045,0.168,,18.0,,16.0,14.0,
499,Mario Lemina,,0.39,,0.4,0.1556,,19.0,,9.0,48.0,
500,Ben White,,-0.02,0.12,0.035,0.2267,,10.0,12.0,10.0,13.0,
501,Vladimír Coufal,,0.054,0.02,,0.21,,15.0,11.0,6.0,8.0,
502,Gareth Bale,,0.13,,,,,38.0,,,,
503,Islam Slimani,,,,,,,1.0,,,,
504,Filip Krovinović,,0.05,,,,,8.0,,,,
505,Karlan Grant,,0.1222,,,,,16.0,,,,
506,Conor Townsend,,0.0125,,,,,11.0,,,,
507,Branislav Ivanović,,0.03,,,,,4.0,,,,
508,Conor Gallagher,,0.1286,0.2364,0.1745,0.1512,,29.0,52.0,28.0,48.0,
509,Pablo Hernández,,0.1167,,,,,15.0,,,,
510,Raphinha,,0.2013,0.1667,,,,67.0,84.0,,,
511,Tyrick Mitchell,,0.085,,0.62,0.0625,,2.0,4.0,6.0,12.0,
512,Edinson Cavani,,0.1387,0.2867,,,,34.0,18.0,,,
513,Fernando Marçal,,,-0.02,,,,2.0,11.0,,,
514,Jacob Murphy,,0.1875,0.296,0.18,0.125,,30.0,27.0,29.0,30.0,
515,Rayan Aït-Nouri,,0.1667,0.1075,0.224,0.115,,15.0,13.0,10.0,24.0,
516,Nathaniel Clyne,,0.01,0.13,,,,4.0,3.0,,4.0,
517,Rhian Brewster,,0.0757,,,0.03,,24.0,,,7.0,
518,Hakim Ziyech,,0.1042,0.1242,0.18,,,35.0,52.0,16.0,,
519,Thiago Silva,,0.125,0.172,-0.01,0.2125,,13.0,18.0,15.0,14.0,
520,Niels Nkounkou,,,,,,,1.0,,,,
521,Thomas Partey,,0.065,0.0967,0.06,0.0,,26.0,44.0,28.0,8.0,
522,Ola Aina,,0.155,,,0.38,,14.0,,,11.0,
523,Joachim Andersen,,0.0667,0.1867,0.1833,0.0612,,13.0,8.0,22.0,21.0,
524,Luke Thomas,,0.3367,,,0.53,,7.0,4.0,3.0,6.0,
525,Pascal Struijk,,0.255,0.08,0.1529,,,14.0,11.0,16.0,,
526,Max Lowe,,0.02,,,,,2.0,,,2.0,
527,Saïd Benrahma,,0.0917,0.1325,0.0448,0.032,,35.0,63.0,69.0,18.0,
528,Carlos Vinícius,,0.2,,0.2192,0.128,,7.0,,21.0,9.0,
529,Max Kilman,,0.06,0.01,,0.234,,7.0,13.0,14.0,14.0,
530,Alex Telles,,0.0,0.0767,,,,5.0,10.0,,,
531,Cengiz Ünder,,0.06,,,,,9.0,,,,
532,Wesley Fofana,,-0.065,0.25,0.14,,,11.0,3.0,8.0,,
533,Josh Benson,,,,,,,2.0,,,,
534,Jacob Ramsey,,0.12,0.2609,0.1046,0.1725,,11.0,34.0,33.0,19.0,
535,Conor Coady,,0.285,0.0475,0.17,,,7.0,12.0,4.0,,
536,Semi Ajayi,,0.115,,,,,13.0,,,,
537,Charlie Austin,,,,,,,3.0,,,,
538,Owen Otasowie,,,,,,,4.0,,,,
539,Jayden Bogle,,0.0943,,,0.1655,,17.0,,,32.0,
540,Andi Zeqiri,,-0.005,,,,,7.0,,,,
541,Emile Smith Rowe,,0.1275,0.0835,-0.01,0.08,,13.0,40.0,4.0,15.0,
542,Rhys Williams,,,,,,,7.0,,,,
543,Daniel Amartey,,0.01,0.16,0.055,,,3.0,2.0,6.0,,
544,Pablo Marí,,,,,,,2.0,1.0,,,
545,Vitinha,,0.11,,,,,8.0,,,,
546,Eric Bailly,,,,,,,2.0,,,,
547,Antwoine Hackford,,,,,,,1.0,,,,
548,Rekeem Harper,,0.37,,,,,1.0,,,,
549,Joël Veltman,,0.19,-0.025,-0.008,0.2267,,14.0,12.0,15.0,5.0,
550,Kenny Tete,,-0.01,,0.146,-0.1,,7.0,,13.0,4.0,
551,Kamil Grosicki,,,,,,,3.0,,,,
552,Kieran Gibbs,,,,,,,1.0,,,,
553,Dan Nlundulu,,,,,,,1.0,,,,
554,Ibrahima Diallo,,0.02,0.025,,,,7.0,8.0,6.0,,
555,Kean Bryan,,0.27,,,,,3.0,,,,
556,Willian José,,-0.0171,,,,,19.0,,,,
557,Mbaye Diagne,,0.1678,,,,,25.0,,,,
558,Martin Ødegaard,,0.1467,0.1019,0.1377,0.1152,,15.0,53.0,93.0,75.0,
559,Josh Maja,,0.1086,,,,,20.0,,,,
560,Okay Yokuşlu,,,,,,,12.0,,,,
561,Ki-Jana Hoever,,,,,,,1.0,1.0,,,
562,Jean-Philippe Mateta,,0.135,0.0456,0.14,0.1896,,4.0,37.0,27.0,44.0,
563,Nathaniel Phillips,,-0.025,,,,,15.0,,1.0,,
564,Morgan Sanson,,,,,,,2.0,1.0,,,
565,Diego Llorente,,0.01,0.1133,,,,8.0,10.0,6.0,,
566,Mohammed Salisu,,-0.08,0.0644,-0.0125,,,4.0,24.0,19.0,,
567,Jakub Moder,,-0.02,0.14,,0.31,,13.0,28.0,,11.0,
568,Sidnei Tavares,,0.09,,,,,1.0,,,,
569,Josh Onomah,,0.02,,,,,6.0,,,,
570,Ozan Kabak,,,0.035,,,,1.0,4.0,,,
571,Joe Rodon,,,,,,,1.0,,,,
572,José Izquierdo,,0.29,,,,,1.0,,,,
573,Daniel Jebbison,,0.115,,,,,4.0,,,,
574,Fabio Carvalho,,0.106,,0.0625,,,9.0,,11.0,,
575,Alisson,,0.44,,,,,1.0,,,,
576,Carney Chukwuemeka,,,-0.01,-0.02,0.06,,1.0,4.0,5.0,3.0,
577,Gaetano Berardi,,,,,,,1.0,,,,
578,Anthony Elanga,,0.29,0.11,0.1275,0.1114,,2.0,21.0,10.0,54.0,
579,Amad Diallo,,0.16,,,0.005,,1.0,,,10.0,
580,Frank Onyeka,,,0.124,0.05,0.0756,,,16.0,9.0,22.0,
581,Bryan Mbeumo,,,0.1463,0.1397,0.0969,,,76.0,70.0,50.0,
582,Sergi Canós,,,0.1158,,,,,33.0,1.0,,
583,Folarin Balogun,,,,,,,,3.0,,,
584,Albert Sambi Lokonga,,,0.0738,-0.01,0.175,,,20.0,2.0,8.0,
585,Christian Nørgaard,,,0.145,0.065,0.01,,,27.0,19.0,35.0,
586,Nuno Tavares,,,0.03,,0.0,,,23.0,,7.0,
587,Adam Armstrong,,,0.1193,0.1483,,,,47.0,25.0,,
588,Francisco Trincão,,,0.1538,,,,,32.0,,,
589,Trevoh Chalobah,,,0.1014,-0.02,0.025,,,9.0,9.0,2.0,
590,Emmanuel Dennis,,,0.1319,-0.0471,,,,60.0,21.0,,
591,Juraj Kucka,,,0.0764,,,,,46.0,,,
592,Cucho,,,0.164,,,,,34.0,,,
593,Leon Bailey,,,0.0775,0.1136,0.0605,,,21.0,51.0,53.0,
594,Kostas Tsimikas,,,0.09,0.365,,,,8.0,7.0,3.0,
595,Milot Rashica,,,0.0424,,,,,44.0,,,
596,Ben Gibson,,,0.0075,,,,,8.0,,,
597,Pierre Lees-Melou,,,0.1022,,,,,33.0,,,
598,Josh Sargent,,,0.265,,,,,24.0,,,
599,Harvey Elliott,,,-0.13,0.1608,0.1006,,,10.0,36.0,49.0,
600,Ivan Toney,,,0.1196,0.1642,0.07,,,83.0,87.0,51.0,
601,Kristoffer Ajer,,,0.13,,0.185,,,7.0,1.0,12.0,
602,Vitaly Janelt,,,0.1242,0.09,0.1514,,,30.0,14.0,21.0,
603,Ethan Pinnock,,,0.0938,0.1788,0.1775,,,16.0,15.0,19.0,
604,Ken Sema,,,0.01,,,,,3.0,,,
605,Oghenekaro Etebo,,,,,,,,3.0,,,
606,Enock Mwepu,,,0.0713,-0.16,,,,19.0,2.0,,
607,Valentino Livramento,,,0.0167,,0.41,,,12.0,,4.0,
608,Romelu Lukaku,,,0.09,,,,,42.0,,,
609,Marc Guéhi,,,0.018,0.0517,,,,19.0,14.0,5.0,
610,Saman Ghoddos,,,0.15,0.35,0.185,,,8.0,1.0,9.0,
611,Rico Henry,,,0.186,0.135,,,,14.0,22.0,2.0,
612,Axel Tuanzebe,,,0.04,,,,,2.0,,,
613,Mohamed Elyounoussi,,,0.0876,0.146,,,,43.0,36.0,,
614,Taylor Richards,,,,,,,,1.0,,,
615,Jamie Shackleton,,,-0.01,,,,,4.0,,,
616,Odsonne Édouard,,,0.0576,0.2847,0.1674,,,39.0,39.0,51.0,
617,Shandon Baptiste,,,0.01,0.1,0.1,,,12.0,4.0,2.0,
618,Armando Broja,,,0.1584,0.348,0.395,,,45.0,6.0,13.0,
619,Takehiro Tomiyasu,,,0.105,,0.2367,,,11.0,3.0,17.0,
620,Kieran Dowell,,,0.175,,,,,8.0,,,
621,Cristiano Ronaldo,,,0.0405,0.1067,,,,107.0,25.0,,
622,Raphaël Varane,,,-0.03,0.0375,-0.02,,,9.0,8.0,8.0,
623,Jadon Sancho,,,0.2411,0.1022,,,,26.0,21.0,,
624,Hwang Hee-chan,,,0.0883,0.0014,0.1659,,,27.0,18.0,44.0,
625,Junior Firpo,,,0.27,-0.04,,,,11.0,2.0,,
626,Mathias Normann,,,0.238,,,,,26.0,,,
627,Maxwel Cornet,,,0.1,-0.025,0.62,,,46.0,9.0,4.0,
628,Salomón Rondón,,,0.13,0.33,,,,21.0,4.0,,
629,Boubakary Soumaré,,,-0.02,,,,,6.0,1.0,,
630,Nikola Vlašić,,,-0.11,,,,,7.0,,,
631,William Troost-Ekong,,,,,,,,2.0,,,
632,Ozan Tufan,,,,,,,,3.0,,,
633,Pontus Jansson,,,0.114,0.065,,,,22.0,4.0,,
634,Yoane Wissa,,,0.1531,0.1607,0.1675,,,32.0,32.0,67.0,
635,Nathan Collins,,,0.224,,0.175,,,15.0,3.0,10.0,
636,Dimitris Giannoulis,,,-0.04,,,,,2.0,,,
637,Mathias Jensen,,,0.052,0.18,0.1057,,,19.0,23.0,14.0,
638,Emerson,,,0.2675,0.1067,0.1367,,,15.0,17.0,6.0,
639,Michael Olise,,,0.063,0.1164,0.165,,,19.0,51.0,56.0,
640,Romain Perraud,,,0.2833,0.36,,,,19.0,30.0,,
641,Patson Daka,,,0.1567,0.1281,,,,26.0,30.0,,
642,Marcus Forss,,,,,,,,5.0,,,
643,Joe Gelhardt,,,0.0689,0.16,,,,23.0,10.0,,
644,Crysencio Summerville,,,,0.2967,,,,2.0,29.0,,
645,Mathias Jørgensen,,,0.08,0.07,0.235,,,2.0,5.0,8.0,
646,Marc Cucurella,,,0.0633,,0.1525,,,18.0,7.0,8.0,
647,Ashley Fletcher,,,0.06,,,,,2.0,,,
648,Andrew Omobamidele,,,0.28,,,,,2.0,,1.0,
649,Cameron Archer,,,,,0.086,,,1.0,,42.0,
650,Charlie Goode,,,,,,,,2.0,,,
651,Mads Roerslev,,,-0.045,,0.42,,,5.0,3.0,7.0,
652,Imran Louza,,,0.115,,,,,17.0,,,
653,Cole Palmer,,,0.18,0.1133,0.1311,,,4.0,11.0,100.0,
654,James Mcatee,,,,,0.1362,,,1.0,,25.0,
655,Adam Forshaw,,,0.03,,,,,14.0,1.0,,
656,Christos Tzolis,,,0.01,,,,,6.0,,,
657,Saúl Ñíguez,,,0.06,,,,,5.0,,,
658,Kiernan Dewsbury-Hall,,,0.0767,0.2117,,,,21.0,26.0,,
659,Lyanco,,,0.02,0.1125,,,,6.0,12.0,,
660,Oliver Skipp,,,0.0,0.1133,0.39,,,4.0,7.0,4.0,
661,Przemysław Płacheta,,,0.1386,,,,,8.0,,,
662,Jakob Sørensen,,,0.04,,,,,5.0,,,
663,Jonjoe Kenny,,,,,,,,5.0,,,
664,Jarrad Branthwaite,,,0.165,,0.1575,,,3.0,,14.0,
665,Ibrahima Konaté,,,,0.1233,0.13,,,4.0,11.0,11.0,
666,Dominic Thompson,,,,,,,,1.0,,,
667,Bryan Gil,,,0.03,0.05,-0.05,,,1.0,2.0,4.0,
668,Francisco Sierralta,,,0.15,,,,,1.0,,,
669,Edo Kayembe,,,,,,,,6.0,,,
670,Samir Santos,,,0.005,,,,,8.0,,,
671,Philippe Coutinho,,,0.1125,0.1775,-0.03,,,43.0,21.0,3.0,
672,Kaide Gordon,,,0.23,,,,,1.0,,,
673,Mads Bech Sørensen,,,,,,,,2.0,,,
674,Tyler Onyango,,,,,,,,1.0,,,
675,Wout Weghorst,,,0.17,-0.016,,,,30.0,14.0,,
676,Hassane Kamara,,,0.33,,,,,5.0,,,
677,Kieran Trippier,,,0.115,0.2625,0.1625,,,2.0,14.0,8.0,
678,Connor Roberts,,,0.235,,,,,6.0,,,
679,Rodrigo Bentancur,,,0.14,0.1389,0.1125,,,14.0,15.0,18.0,
680,Chiquinho,,,0.03,,,,,5.0,,,
681,Luis Díaz,,,0.1615,0.2562,0.0981,,,38.0,27.0,94.0,
682,Dejan Kulusevski,,,0.2611,0.101,0.1757,,,26.0,43.0,57.0,
683,Cristian Romero,,,0.155,-0.075,0.2256,,,6.0,11.0,24.0,
684,Malang Sarr,,,,,,,,1.0,,,
685,Bruno Guimarães,,,0.1617,0.1725,0.0689,,,23.0,28.0,48.0,
686,Samuel Kalu,,,0.02,,,,,4.0,,,
687,Jon Rowe,,,0.105,,,,,3.0,,,
688,Sam Greenwood,,,,0.315,,,,4.0,12.0,,
689,Charlie Cresswell,,,,,,,,1.0,,,
690,Tariqe Fosu,,,0.15,,,,,1.0,,,
691,Vitaliy Mykolenko,,,0.205,-0.0133,0.118,,,8.0,10.0,26.0,
692,Moisés Caicedo,,,0.02,0.1275,0.0975,,,10.0,28.0,13.0,
693,Tim Iroegbunam,,,,,,,,1.0,,,
694,Josh Dasilva,,,,0.2867,,,,1.0,18.0,,
695,Lewis Bate,,,,,,,,1.0,,,
696,Tony Springett,,,0.47,,,,,1.0,,,
697,Toti Gomes,,,,0.055,0.052,,,1.0,5.0,10.0,
698,Hannibal Mejbri,,,-0.01,,0.16,,,1.0,,1.0,
699,Isaac Price,,,,,,,,1.0,,,
700,Kenedy,,,,,,,,1.0,,,
701,João Palhinha,,,,0.1011,0.185,,,,39.0,45.0,
702,Darwin Núñez,,,,0.1443,0.1409,,,,84.0,107.0,
703,Lewis O'Brien,,,,0.12,,,,,7.0,,
704,Diego Carlos,,,,,0.03,,,,4.0,10.0,
705,Boubacar Kamara,,,,-0.06,0.14,,,,4.0,5.0,
706,Kieffer Moore,,,,0.22,0.1,,,,23.0,6.0,
707,Brenden Aaronson,,,,0.0844,,,,,41.0,,
708,Tyler Adams,,,,,,,,,4.0,,
709,Marc Roca,,,,0.0962,,,,,35.0,,
710,Roméo Lavia,,,,0.11,,,,,12.0,,
711,Joe Aribo,,,,0.1862,,,,,14.0,,
712,Kalidou Koulibaly,,,,0.2575,,,,,11.0,,
713,Halil Dervişoğlu,,,,,,,,,1.0,,
714,Lisandro Martínez,,,,0.04,,,,,10.0,,
715,Erling Haaland,,,,0.1447,0.1646,,,,116.0,113.0,
716,Julián Álvarez,,,,0.195,0.1659,,,,46.0,96.0,
717,Nathan Patterson,,,,0.02,,,,,8.0,4.0,
718,Amadou Onana,,,,0.265,-0.0233,,,,34.0,29.0,
719,Armel Bella Kotchap,,,,0.18,,,,,14.0,,
720,Rasmus Kristensen,,,,-0.016,,,,,13.0,,
721,Sekou Mara,,,,0.18,,,,,17.0,,
722,Ben Pearson,,,,0.09,,,,,2.0,,
723,Aaron Hickey,,,,0.075,0.05,,,,11.0,7.0,
724,Tyrell Malacia,,,,-0.015,,,,,5.0,,
725,Orel Mangala,,,,0.05,-0.01,,,,9.0,10.0,
726,Moussa Niakhate,,,,0.1667,0.04,,,,6.0,5.0,
727,Taiwo Awoniyi,,,,0.038,0.1891,,,,35.0,22.0,
728,Brennan Johnson,,,,0.1562,0.1389,,,,52.0,53.0,
729,Gianluca Scamacca,,,,0.088,,,,,30.0,,
730,Cheick Doucouré,,,,0.1157,0.21,,,,36.0,6.0,
731,Chris Richards,,,,,0.1033,,,,4.0,11.0,
732,Gonçalo Guedes,,,,0.115,,,,,19.0,,
