,player,xg_diff_19,xg_diff_20,xg_diff_21,xg_diff_22,xg_diff_23,shots_19,shots_20,shots_21,shots_22,shots_23,total_shots
74,Jan Bednarek,0.34,0.044,0.0714,,,7.0,10.0,19.0,8.0,,
75,Lucas Moura,0.0886,0.1417,0.1236,0.35,,56.0,18.0,37.0,4.0,,
76,Érik Lamela,0.1175,0.1278,,,,29.0,21.0,,,,
77,John McGinn,0.1005,0.0727,0.1675,0.0709,0.1943,55.0,45.0,43.0,42.0,40.0,225.0
78,Trézéguet,0.1082,0.1333,,,,50.0,35.0,1.0,,,
79,Harry Kane,0.1909,0.1302,0.1557,0.1528,,79.0,133.0,129.0,124.0,,
80,Wesley Moraes,0.0982,0.0,,,,34.0,1.0,,,,
81,Harry Winks,0.165,0.35,-0.01,,,14.0,4.0,3.0,,,
82,Moussa Sissoko,0.2725,0.01,0.2088,,,15.0,3.0,25.0,,,
83,Anwar El Ghazi,0.1311,0.0477,0.02,,,51.0,60.0,7.0,,,
84,Tanguy Ndombele,0.085,0.1586,0.11,,,9.0,18.0,9.0,,,
85,Kyle Walker-Peters,,0.08,0.1014,0.212,,3.0,18.0,26.0,13.0,,
86,Toby Alderweireld,0.0675,-0.0,,,,16.0,10.0,,,,
87,Christian Eriksen,0.1278,,0.1162,0.1936,0.2075,26.0,,22.0,39.0,13.0,
88,Davinson Sánchez,0.1533,,0.17,0.09,,7.0,5.0,13.0,6.0,1.0,32.0
89,Georges-Kévin N'Koudou,,,,,,1.0,,,,,
90,Leander Dendoncker,0.272,0.085,0.095,-0.015,0.27,20.0,31.0,23.0,5.0,2.0,81.0
91,Hamza Choudhury,0.08,0.2,,,,7.0,4.0,1.0,,,
92,Youri Tielemans,0.1323,0.1078,0.2373,0.145,0.062,56.0,47.0,57.0,29.0,14.0,203.0
93,Ben Chilwell,0.215,0.114,0.1633,0.1425,0.045,16.0,27.0,13.0,16.0,12.0,84.0
94,Ricardo Pereira,0.06,0.0875,0.215,0.09,,18.0,7.0,10.0,2.0,,
95,Wilfred Ndidi,0.2867,0.22,-0.005,0.125,,26.0,16.0,14.0,7.0,,
96,James Maddison,0.14,0.1061,0.1373,0.1307,0.1543,74.0,75.0,72.0,83.0,58.0,362.0
97,Diogo Jota,0.085,0.0885,0.0966,0.1809,0.2042,69.0,46.0,90.0,35.0,41.0,281.0
98,Raúl Jiménez,0.1349,0.133,0.1647,0.0033,0.1371,114.0,26.0,56.0,20.0,41.0,257.0
99,Ryan Bennett,,,,,,1.0,,,,,
100,Ayoze Pérez,0.1214,0.1515,0.2583,0.155,,46.0,31.0,11.0,8.0,,
101,Marc Albrighton,0.08,0.1133,0.31,0.56,,10.0,21.0,4.0,2.0,,
102,Harvey Barnes,0.0821,0.1196,0.2342,0.1179,0.1742,61.0,56.0,66.0,72.0,27.0,282.0
103,Jonny Evans,0.0987,0.1733,0.27,-0.12,,23.0,8.0,3.0,1.0,1.0,36.0
104,Joelinton,0.0993,0.0921,0.1164,0.0642,0.1043,50.0,43.0,45.0,51.0,19.0,208.0
105,Jonjo Shelvey,0.2479,0.0944,0.1086,,,45.0,42.0,30.0,6.0,,
106,Henrikh Mkhitaryan,,,,,,2.0,,,,,
107,Granit Xhaka,0.1067,0.1486,0.256,0.2636,,11.0,21.0,27.0,40.0,,
108,Pierre-Emerick Aubameyang,0.1903,0.1258,0.0262,0.0957,,91.0,55.0,33.0,16.0,,
109,Miguel Almirón,0.1918,0.2114,0.21,0.2315,0.1413,56.0,33.0,32.0,69.0,41.0,231.0
110,Joe Willock,0.12,0.2133,0.0736,0.2175,0.31,15.0,22.0,35.0,58.0,7.0,137.0
111,Allan Saint-Maximin,0.1681,0.1408,0.1115,0.1209,,46.0,30.0,64.0,28.0,,
112,Fabian Schär,0.1817,0.045,0.1675,0.085,0.0838,20.0,11.0,21.0,56.0,35.0,143.0
113,Tammy Abraham,0.1214,0.2015,,,,88.0,32.0,,,,
114,Pedro,0.128,,,,,22.0,,,,,
115,Anthony Martial,0.1582,0.1085,0.02,0.18,0.035,79.0,43.0,5.0,26.0,6.0,159.0
116,Mason Mount,0.1062,0.1152,0.1648,0.1711,0.76,78.0,81.0,75.0,33.0,5.0,272.0
117,Paul Pogba,0.1543,0.1664,0.0562,,,21.0,31.0,32.0,,,
118,Ross Barkley,0.175,0.1508,0.2725,,0.1495,40.0,39.0,9.0,,66.0,
119,Jorginho,0.15,,0.06,0.14,,9.0,5.0,9.0,9.0,4.0,36.0
120,Emerson Palmieri,0.0186,,,0.056,0.2475,13.0,,,11.0,19.0,
121,Kurt Zouma,0.02,0.0892,-0.065,0.126,0.2071,15.0,27.0,6.0,19.0,16.0,83.0
122,Marcus Rashford,0.1192,0.1011,0.1017,0.1337,0.1711,87.0,79.0,22.0,108.0,60.0,356.0
123,Daniel James,0.1645,0.0483,0.2319,0.325,,42.0,17.0,54.0,17.0,,
124,Mason Greenwood,0.177,0.0696,0.0978,,,39.0,67.0,48.0,,,
125,Christian Pulisic,0.2064,0.1244,0.2173,0.13,,63.0,43.0,28.0,19.0,,
126,Dani Ceballos,0.1267,0.02,,,,13.0,13.0,,,,
127,Alexandre Lacazette,0.195,0.1664,0.0542,,,52.0,42.0,43.0,,,
128,Jack Cork,0.068,,-0.08,,,18.0,5.0,7.0,,,
129,Ben Mee,0.1667,0.1267,0.17,0.2686,0.04,17.0,22.0,19.0,28.0,10.0,96.0
130,Dwight McNeil,0.0921,0.2144,0.0753,0.1073,0.0957,48.0,26.0,52.0,46.0,57.0,229.0
131,Reiss Nelson,0.1275,,,0.2288,0.2,11.0,1.0,1.0,12.0,4.0,29.0
132,Mattéo Guendouzi,0.142,,,,,11.0,,,,,
133,Ainsley Maitland-Niles,0.16,0.095,,0.2,,4.0,12.0,2.0,1.0,,
134,Ashley Westwood,0.0833,0.18,0.01,,,13.0,20.0,14.0,,,
135,Matthew Lowton,,0.165,0.195,,,1.0,21.0,10.0,,,
136,Nicolas Pépé,0.1529,0.1568,0.1857,,,49.0,47.0,23.0,,,
137,Lucas Torreira,0.0183,,,,,21.0,,,,,
138,Jay Rodriguez,0.125,-0.0044,0.04,,0.1886,66.0,31.0,41.0,,21.0,
