,Unnamed: 0_level_0_Minute,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Squad,Unnamed: 3_level_0_xG,Unnamed: 4_level_0_PSxG,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 1_Event,SCA 2_Player,SCA 2_Event
0,5,Marco Stiepermann,Norwich City,0.06,,Off Target,15.0,Left Foot,,Teemu Pukki,Pass (Live),Teemu Pukki,Interception
1,10,Marco Stiepermann,Norwich City,0.06,,Off Target,18.0,Left Foot,,Teemu Pukki,Pass (Live),Jamal Lewis,Pass (Live)
2,15,Teemu Pukki,Norwich City,0.08,,Blocked,14.0,Left Foot,,Jamal Lewis,Pass (Live),Jamal Lewis,Take-On
3,15,Teemu Pukki,Norwich City,0.06,,Off Target,10.0,Left Foot,,Todd Cantwell,Pass (Live),Emi Buendía,Pass (Live)
4,16,Andrew Robertson,Liverpool,0.04,,Off Target,17.0,Left Foot,,Divock Origi,Pass (Live),Georginio Wijnaldum,Pass (Live)
5,19,Mohamed Salah,Liverpool,0.29,0.63,Goal,9.0,Left Foot,,Roberto Firmino,Pass (Live),,
6,25,Emi Buendía,Norwich City,0.04,0.19,Saved,22.0,Left Foot,,Todd Cantwell,Pass (Live),Todd Cantwell,Pass (Live)
7,26,Marco Stiepermann,Norwich City,0.04,0.06,Saved,23.0,Left Foot,Volley,Emi Buendía,Pass (Live),Max Aarons,Pass (Live)
8,28,Virgil van Dijk,Liverpool,0.08,0.05,Goal,9.0,Head,,Mohamed Salah,Pass (Dead),Georginio Wijnaldum,Pass (Live)
9,31,Roberto Firmino,Liverpool,0.07,0.12,Saved,14.0,Left Foot,Volley,Trent Alexander-Arnold,Pass (Live),Georginio Wijnaldum,Pass (Live)
10,35,Tom Trybull,Norwich City,0.05,,Off Target,12.0,Head,,Emi Buendía,Pass (Dead),,
11,42,Divock Origi,Liverpool,0.23,0.12,Goal,13.0,Head,,Trent Alexander-Arnold,Pass (Live),Jordan Henderson,Pass (Live)
12,45+2,Roberto Firmino,Liverpool,0.04,,Blocked,19.0,Left Foot,,Andrew Robertson,Pass (Live),,
13,,,,,,,,,,,,,
14,48,Jordan Henderson,Liverpool,0.07,0.1,Saved,14.0,Right Foot,,Divock Origi,Pass (Live),Georginio Wijnaldum,Pass (Live)
15,48,Roberto Firmino,Liverpool,0.63,,Woodwork,4.0,Left Foot,,Trent Alexander-Arnold,Pass (Live),Mohamed Salah,Pass (Live)
16,54,Mohamed Salah,Liverpool,0.05,,Off Target,14.0,Left Foot,,Fabinho,Tackle,,
17,55,Jordan Henderson,Liverpool,0.07,,Blocked,17.0,Right Foot,,Mohamed Salah,Pass (Live),Divock Origi,Pass (Live)
18,55,Fabinho,Liverpool,0.03,0.15,Saved,31.0,Right Foot,,Jordan Henderson,Shot,,
19,58,Andrew Robertson,Liverpool,0.02,,Off Target,25.0,Left Foot,,Jordan Henderson,Fouled,Mohamed Salah,Pass (Live)
20,62,Moritz Leitner,Norwich City,0.04,,Woodwork,16.0,Right Foot,,Todd Cantwell,Pass (Live),Moritz Leitner,Pass (Live)
21,64,Teemu Pukki,Norwich City,0.35,0.84,Goal,11.0,Right Foot,,Emi Buendía,Pass (Live),Kenny McLean,Pass (Live)
22,71,Roberto Firmino,Liverpool,0.05,,Blocked,19.0,Right Foot,,Mohamed Salah,Pass (Live),Fabinho,Pass (Live)
23,73,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,30.0,Right Foot,,Joe Gomez,Pass (Live),,
24,80,Emi Buendía,Norwich City,0.05,0.04,Saved,29.0,Right Foot,Free kick,Teemu Pukki,Fouled,,
25,85,Trent Alexander-Arnold,Liverpool,0.14,0.45,Saved,22.0,Right Foot,Free kick,Roberto Firmino,Fouled,Roberto Firmino,Take-On
26,90+1,Ben Godfrey,Norwich City,0.02,0.19,Saved,29.0,Right Foot,,Jamal Lewis,Pass (Live),Onel Hernández,Pass (Live)
27,90+1,Onel Hernández,Norwich City,0.06,,Blocked,10.0,Left Foot,,Ben Godfrey,Shot,,
0,9,Riyad Mahrez,Manchester City,0.03,0.08,Saved,26.0,Left Foot,,Kyle Walker,Pass (Live),John Stones,Pass (Live)
1,15,David Silva,Manchester City,0.03,,Off Target,22.0,Left Foot,,Riyad Mahrez,Pass (Live),David Silva,Pass (Live)
2,19,Riyad Mahrez,Manchester City,0.07,,Blocked,16.0,Right Foot,,Riyad Mahrez,Take-On,Kevin De Bruyne,Pass (Live)
3,21,Riyad Mahrez,Manchester City,0.38,,Off Target,11.0,Left Foot,,Riyad Mahrez,Take-On,Kevin De Bruyne,Pass (Live)
4,25,Gabriel Jesus,Manchester City,0.19,0.2,Goal,6.0,Left Foot,,,,,
5,27,Kyle Walker,Manchester City,0.05,,Blocked,15.0,Head,,Riyad Mahrez,Pass (Live),Kyle Walker,Pass (Live)
6,35,Sébastien Haller,West Ham,0.12,0.55,Saved,14.0,Right Foot,Volley,Michail Antonio,Pass (Live),Ryan Fredericks,Pass (Dead)
7,38,Kevin De Bruyne,Manchester City,0.04,0.09,Saved,18.0,Right Foot,,David Silva,Pass (Live),Kevin De Bruyne,Pass (Live)
8,45+1,Gabriel Jesus,Manchester City,0.04,0.14,Saved,22.0,Right Foot,Deflected,Gabriel Jesus,Pass (Live),Aymeric Laporte,Pass (Live)
9,,,,,,,,,,,,,
10,50,Raheem Sterling,Manchester City,0.05,0.07,Saved,13.0,Head,,Oleksandr Zinchenko,Pass (Live),David Silva,Pass (Live)
11,51,Raheem Sterling,Manchester City,0.43,0.6,Goal,13.0,Left Foot,,Kevin De Bruyne,Pass (Live),Kevin De Bruyne,Take-On
12,57,Oleksandr Zinchenko,Manchester City,0.05,,Off Target,23.0,Left Foot,,David Silva,Pass (Live),Kevin De Bruyne,Pass (Live)
13,60,Issa Diop,West Ham,0.28,,Off Target,5.0,Head,,Robert Snodgrass,Pass (Dead),Aaron Cresswell,Fouled
14,73,Javier Hernández,West Ham,0.59,0.7,Saved,7.0,Left Foot,,Javier Hernández,Pass (Live),Manuel Lanzini,Pass (Live)
15,73,Manuel Lanzini,West Ham,0.09,0.4,Saved,9.0,Head,,Javier Hernández,Shot,,
16,75,Raheem Sterling,Manchester City,0.56,0.98,Goal,9.0,Right Foot,,Riyad Mahrez,Pass (Live),Raheem Sterling,Pass (Live)
17,86,Sergio Agüero (pen),Manchester City,0.79,0.99,Goal,13.0,Right Foot,,Riyad Mahrez,Fouled,,
18,90+1,Raheem Sterling,Manchester City,0.48,0.88,Goal,10.0,Right Foot,,Riyad Mahrez,Pass (Live),,
19,90+4,Javier Hernández,West Ham,0.07,,Off Target,28.0,Right Foot,Free kick,Robert Snodgrass,Fouled,Manuel Lanzini,Pass (Live)
0,1,David McGoldrick,Sheffield Utd,0.19,0.2,Saved,21.0,Right Foot,Volley,John Lundstram,Pass (Live),John Lundstram,Interception
1,5,Jefferson Lerma,Bournemouth,0.04,,Off Target,34.0,Right Foot,Volley,Jefferson Lerma,Take-On,Nathan Aké,Pass (Live)
2,21,Callum Robinson,Sheffield Utd,0.03,0.13,Saved,28.0,Right Foot,,John Fleck,Pass (Live),Jack O'Connell,Pass (Live)
3,26,Philip Billing,Bournemouth,0.02,,Off Target,29.0,Left Foot,,Diego Rico,Pass (Live),Ryan Fraser,Pass (Live)
4,42,John Lundstram,Sheffield Utd,0.01,,Off Target,29.0,Left Foot,,John Fleck,Pass (Live),John Lundstram,Pass (Live)
5,45,Chris Mepham,Bournemouth,0.09,,Off Target,12.0,Right Foot,,Philip Billing,Tackle,Philip Billing,Pass (Live)
6,45+2,Callum Robinson,Sheffield Utd,0.07,,Blocked,15.0,Left Foot,,Oliver Norwood,Pass (Live),John Lundstram,Pass (Live)
7,,,,,,,,,,,,,
8,47,George Baldock,Sheffield Utd,0.02,,Off Target,24.0,Right Foot,,,,,
9,49,David McGoldrick,Sheffield Utd,0.22,,Off Target,22.0,Right Foot,,John Lundstram,Pass (Live),,
10,53,Jefferson Lerma,Bournemouth,0.03,,Blocked,24.0,Right Foot,,Joshua King,Pass (Live),Ryan Fraser,Pass (Live)
11,56,Joshua King,Bournemouth,0.06,,Blocked,18.0,Right Foot,Volley,Ryan Fraser,Fouled,Callum Wilson,Pass (Live)
12,59,Philip Billing,Bournemouth,0.03,0.16,Saved,29.0,Left Foot,,,,,
13,61,Nathan Aké,Bournemouth,0.04,,Off Target,13.0,Head,,Ryan Fraser,Pass (Dead),Philip Billing,Shot
