,id,playerName,eventType,shotType,situation,teamId,playerId,x,y,min,period,isOwnGoal,isBlocked,isOnTarget,isSavedOffLine,isFromInsideBox,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,box,homeTeamId,awayTeamId,homeTeamName,awayTeamName,homeScore,awayScore,matchId,matchDate,teamColor,teamColorDark,onGoalShot.x,onGoalShot.y,onGoalShot.zoomRatio,minAdded
13,2715431595,Antoine Semenyo,AttemptSaved,LeftFoot,SetPiece,8678,933576,91.0,23.7189808963,35,FirstHalf,False,True,True,False,True,92.6,24.6998726165,32.85625,1.219999994,0.0150434551760554,0.0,InsideBox,8668,8678,Everton,AFC Bournemouth,2,3,4506286,2024-08-31T14:00:00Z,#D71921,#D71921,1.30257936507937,0.322751321164021,1.0,
14,2715543211,Antoine Semenyo,Goal,RightFoot,RegularPlay,8678,933576,101.9655172416,30.95,87,SecondHalf,False,False,True,False,True,,,32.85625,0.5265263132,0.46175953745842,0.765099883079529,InsideBox,8668,8678,Everton,AFC Bournemouth,2,3,4506286,2024-08-31T14:00:00Z,#D71921,#D71921,1.30257936507937,0.139292675449735,1.0,
15,2715554611,Antoine Semenyo,AttemptSaved,LeftFoot,RegularPlay,8678,933576,86.9970588232,36.36375,90,SecondHalf,False,False,True,False,False,104.051724138,34.1525,32.78,0.609999997,0.0315287560224533,0.0451293848454952,OutsideBox,8668,8678,Everton,AFC Bournemouth,2,3,4506286,2024-08-31T14:00:00Z,#D71921,#D71921,1.32275132275132,0.161375660582011,1.0,4.0
16,2715554973,Antoine Semenyo,Miss,LeftFoot,RegularPlay,8678,933576,90.2,25.53375,90,SecondHalf,False,False,False,False,True,,,39.292857144,3.8547586248,0.0637884512543678,0.0,InsideBox,8668,8678,Everton,AFC Bournemouth,2,3,4506286,2024-08-31T14:00:00Z,#D71921,#D71921,0.0700895053250731,0.677248677248677,0.664114215486793,4.0
17,2720285853,Antoine Semenyo,Miss,RightFoot,RegularPlay,8678,933576,74.150970876,31.56,13,FirstHalf,False,False,False,False,False,,,40.889761905,0.802631575,0.0149857420474291,0.0,OutsideBox,8678,8455,AFC Bournemouth,Chelsea,0,1,4506293,2024-09-14T19:00:00Z,#D71921,#D71921,-2.22044604925e-16,0.116496271724211,0.548640149270877,
18,2720333939,Antoine Semenyo,Miss,RightFoot,SetPiece,8678,933576,82.7101941752,36.2875,58,SecondHalf,False,False,False,False,False,,,30.316,4.4630344888,0.0385108813643456,0.0,OutsideBox,8678,8455,AFC Bournemouth,Chelsea,0,1,4506293,2024-09-14T19:00:00Z,#D71921,#D71921,1.55903312717957,0.677248677248677,0.573600765672846,
19,2720356029,Antoine Semenyo,AttemptSaved,RightFoot,RegularPlay,8678,933576,92.7,22.3877707046,89,SecondHalf,False,True,True,False,True,95.2543859636,24.4896815336,32.475,1.219999994,0.0485906191170216,0.0,InsideBox,8678,8455,AFC Bournemouth,Chelsea,0,1,4506293,2024-09-14T19:00:00Z,#D71921,#D71921,1.40343915343915,0.322751321164021,1.0,
20,2723331815,Antoine Semenyo,AttemptSaved,LeftFoot,RegularPlay,8678,933576,95.2543859636,37.756,20,FirstHalf,False,False,True,False,True,99.0175438595,37.708,34.7625,0.3659999982,0.241781577467918,0.417942523956299,InsideBox,8650,8678,Liverpool,AFC Bournemouth,3,0,4506308,2024-09-21T14:00:00Z,#D71921,#D71921,0.798280423280423,0.0968253963492064,1.0,
21,2723357057,Antoine Semenyo,Miss,RightFoot,RegularPlay,8678,933576,85.6014705876,23.5087898134,32,FirstHalf,False,False,False,False,False,,,42.1771875,0.4430526294,0.0373703055083752,0.0,OutsideBox,8650,8678,Liverpool,AFC Bournemouth,3,0,4506308,2024-09-21T14:00:00Z,#D71921,#D71921,0.0,0.0541815421744946,0.462261627240417,
22,2723421409,Antoine Semenyo,AttemptSaved,RightFoot,RegularPlay,8678,933576,83.160679612,27.950714285,50,SecondHalf,False,True,True,False,False,95.1578947355,30.304,32.475,1.219999994,0.0267856270074844,0.0,OutsideBox,8650,8678,Liverpool,AFC Bournemouth,3,0,4506308,2024-09-21T14:00:00Z,#D71921,#D71921,1.40343915343915,0.322751321164021,1.0,
23,2723431367,Antoine Semenyo,AttemptSaved,LeftFoot,RegularPlay,8678,933576,88.9,24.1393630621,54,SecondHalf,False,False,True,False,True,102.9137931036,32.6275,32.17,0.4879999976,0.0467097759246826,0.105196289718151,InsideBox,8650,8678,Liverpool,AFC Bournemouth,3,0,4506308,2024-09-21T14:00:00Z,#D71921,#D71921,1.48412698412698,0.129100528465608,1.0,
24,2728891983,Antoine Semenyo,Goal,RightFoot,RegularPlay,8678,933576,92.2,19.7954140155,39,FirstHalf,False,False,True,False,True,,,36.36375,0.0834736838,0.0609105713665485,0.212297916412354,InsideBox,8678,8466,AFC Bournemouth,Southampton,3,1,4506313,2024-09-30T19:00:00Z,#D71921,#D71921,0.374669312169311,0.0220829851322751,1.0,
25,2728917489,Antoine Semenyo,AttemptSaved,LeftFoot,RegularPlay,8678,933576,85.1720588228,22.0374522331,63,SecondHalf,False,True,True,False,False,88.9,24.6298089222,36.745,1.219999994,0.0273317489773035,0.0,OutsideBox,8678,8466,AFC Bournemouth,Southampton,3,1,4506313,2024-09-30T19:00:00Z,#D71921,#D71921,0.273809523809523,0.322751321164021,1.0,
26,2728918497,Antoine Semenyo,AttemptSaved,LeftFoot,RegularPlay,8678,933576,92.4,38.78857143,65,SecondHalf,False,True,True,False,True,94.0964912264,38.032142859,34.4575,0.6228421022,0.086152657866478,0.0,InsideBox,8678,8466,AFC Bournemouth,Southampton,3,1,4506313,2024-09-30T19:00:00Z,#D71921,#D71921,0.878968253968253,0.164773042910053,1.0,
27,2728925561,Antoine Semenyo,AttemptSaved,RightFoot,RegularPlay,8678,933576,94.0964912264,21.1966879015,80,SecondHalf,False,True,True,False,True,95.5438596479,22.8081528704,33.8475,1.219999994,0.0221192948520184,0.0,InsideBox,8678,8466,AFC Bournemouth,Southampton,3,1,4506313,2024-09-30T19:00:00Z,#D71921,#D71921,1.04034391534392,0.322751321164021,1.0,
