,Unnamed: 0_level_0_Minute,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Squad,Unnamed: 3_level_0_xG,Unnamed: 4_level_0_PSxG,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 1_Event,SCA 2_Player,SCA 2_Event
0,4,Erling Haaland,Manchester City,0.17,0.62,Goal,8.0,Left Foot,Volley,Rodri,Pass (Live),Kevin De Bruyne,Pass (Live)
1,6,Kevin De Bruyne,Manchester City,0.02,,Off Target,32.0,Right Foot,,Phil Foden,Pass (Live),Nathan Aké,Pass (Live)
2,11,Erling Haaland,Manchester City,0.21,,Off Target,6.0,Right Foot,Volley,Kevin De Bruyne,Pass (Live),Rodri,Pass (Live)
3,15,Luca Koleosho,Burnley,0.08,,Off Target,15.0,Right Foot,,Vitinho,Pass (Live),Lyle Foster,Pass (Live)
4,18,Zeki Amdouni,Burnley,0.03,0.02,Saved,15.0,Left Foot,,Luca Koleosho,Pass (Live),Vitinho,Pass (Live)
5,29,Lyle Foster,Burnley,0.03,,Off Target,16.0,Right Foot,,Lyle Foster,Take-On,,
6,36,Erling Haaland,Manchester City,0.14,0.5,Goal,13.0,Left Foot,,Julián Álvarez,Pass (Live),Kyle Walker,Pass (Live)
7,37,Lyle Foster,Burnley,0.12,,Blocked,16.0,Right Foot,,Luca Koleosho,Pass (Live),Zeki Amdouni,Tackle
8,45+1,Phil Foden,Manchester City,0.24,0.33,Saved,10.0,Left Foot,,Phil Foden,Take-On,Mateo Kovačić,Pass (Live)
9,,,,,,,,,,,,,
10,52,Erling Haaland,Manchester City,0.05,,Blocked,11.0,Left Foot,,Julián Álvarez,Pass (Live),Rodri,Pass (Live)
11,53,Phil Foden,Manchester City,0.04,,Blocked,8.0,Left Foot,Volley,,,,
12,55,Rodri,Manchester City,0.02,0.05,Saved,34.0,Right Foot,,,,,
13,55,Rodri,Manchester City,0.01,0.26,Saved,15.0,Head,,Julián Álvarez,Pass (Dead),Rodri,Shot
14,60,Julián Álvarez,Manchester City,0.06,,Off Target,15.0,Right Foot,,Erling Haaland,Pass (Live),Phil Foden,Pass (Live)
15,67,Rodri,Manchester City,0.05,,Blocked,16.0,Right Foot,,Julián Álvarez,Pass (Live),Rico Lewis,Pass (Live)
16,75,Nathan Aké,Manchester City,0.31,,Blocked,5.0,Left Foot,Volley,Erling Haaland,Fouled,Ederson,Pass (Live)
17,75,Rodri,Manchester City,0.42,0.93,Goal,5.0,Right Foot,,Nathan Aké,Shot,,
18,79,Julián Álvarez,Manchester City,0.2,,Blocked,13.0,Right Foot,,Erling Haaland,Pass (Live),Rodri,Pass (Live)
19,80,Anass Zaroury,Burnley,0.04,,Blocked,21.0,Left Foot,,Lyle Foster,Pass (Live),Jacob Bruun Larsen,Pass (Live)
20,82,Jacob Bruun Larsen,Burnley,0.02,,Off Target,7.0,Head,,Anass Zaroury,Pass (Dead),,
21,86,Julián Álvarez,Manchester City,0.09,0.02,Saved,14.0,Right Foot,,Phil Foden,Pass (Live),Manuel Akanji,Pass (Live)
22,88,Phil Foden,Manchester City,0.02,,Off Target,21.0,Left Foot,,Julián Álvarez,Pass (Dead),Mateo Kovačić,Fouled
23,90+5,Aymeric Laporte,Manchester City,0.04,0.02,Saved,11.0,Head,,Julián Álvarez,Pass (Dead),Kyle Walker,Fouled
0,10,Eddie Nketiah,Arsenal,0.06,,Off Target,6.0,Head,,Bukayo Saka,Pass (Live),Martin Ødegaard,Pass (Live)
1,11,Brennan Johnson,Nott'ham Forest,0.28,,Off Target,18.0,Right Foot,,Willy Boly,Pass (Live),,
2,24,Kai Havertz,Arsenal,0.03,,Blocked,24.0,Left Foot,,Gabriel Martinelli,Pass (Live),William Saliba,Pass (Live)
3,25,Bukayo Saka,Arsenal,0.02,,Blocked,16.0,Right Foot,,Thomas Partey,Pass (Live),Ben White,Pass (Live)
4,26,Eddie Nketiah,Arsenal,0.11,0.02,Goal,14.0,Right Foot,Deflected,Gabriel Martinelli,Take-On,Thomas Partey,Pass (Live)
5,32,Bukayo Saka,Arsenal,0.04,0.6,Goal,23.0,Left Foot,,William Saliba,Pass (Live),Thomas Partey,Pass (Live)
6,38,Eddie Nketiah,Arsenal,0.04,,Off Target,12.0,Right Foot,,Bukayo Saka,Pass (Live),Ben White,Pass (Live)
7,44,Declan Rice,Arsenal,0.02,0.14,Saved,32.0,Right Foot,,Bukayo Saka,Pass (Live),Martin Ødegaard,Pass (Live)
8,,,,,,,,,,,,,
9,51,Takehiro Tomiyasu,Arsenal,0.03,0.16,Saved,28.0,Right Foot,,Gabriel Martinelli,Pass (Live),Martin Ødegaard,Pass (Live)
10,69,Martin Ødegaard,Arsenal,0.03,,Blocked,21.0,Left Foot,,Thomas Partey,Pass (Live),Eddie Nketiah,Pass (Live)
11,70,Ola Aina,Nott'ham Forest,0.02,,Blocked,29.0,Right Foot,,Ola Aina,Take-On,Orel Mangala,Pass (Live)
12,76,Declan Rice,Arsenal,0.05,0.44,Saved,25.0,Right Foot,Deflected,Kai Havertz,Pass (Live),Martin Ødegaard,Pass (Live)
13,78,Willy Boly,Nott'ham Forest,0.21,0.08,Saved,5.0,Head,Deflected,Morgan Gibbs-White,Pass (Dead),,
14,81,Declan Rice,Arsenal,0.17,0.56,Saved,15.0,Right Foot,Volley,Thomas Partey,Pass (Live),Leandro Trossard,Pass (Live)
15,82,Taiwo Awoniyi,Nott'ham Forest,0.57,0.87,Goal,6.0,Right Foot,,Anthony Elanga,Pass (Live),Taiwo Awoniyi,Pass (Live)
16,83,Morgan Gibbs-White,Nott'ham Forest,0.07,,Off Target,19.0,Right Foot,,Anthony Elanga,Pass (Live),Neco Williams,Pass (Live)
17,85,Kai Havertz,Arsenal,0.02,,Blocked,12.0,Right Foot,,Martin Ødegaard,Pass (Live),Thomas Partey,Pass (Live)
18,87,Bukayo Saka,Arsenal,0.13,0.06,Saved,10.0,Left Foot,Deflected,Kai Havertz,Pass (Live),Martin Ødegaard,Pass (Live)
19,90+3,Martin Ødegaard,Arsenal,0.04,,Blocked,26.0,Left Foot,,Leandro Trossard,Pass (Live),Leandro Trossard,Take-On
20,90+5,Cheikhou Kouyaté,Nott'ham Forest,0.02,,Off Target,26.0,Right Foot,Volley,Anthony Elanga,Fouled,Ryan Yates,Pass (Live)
