,Unnamed: 0_level_0_Minute,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Squad,Unnamed: 3_level_0_xG,Unnamed: 4_level_0_PSxG,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 1_Event,SCA 2_Player,SCA 2_Event
25,90+8,Jacob Greaves,Ipswich Town,0.03,0.0,Blocked,10.0,Left Foot,,Sammie Szmodics,Pass (Live),Marcus Harness,Pass (Live)
0,10,William Smallbone,Southampton,0.15,0.0,Blocked,9.0,Right Foot,,Joe Aribo,Pass (Live),William Smallbone,Pass (Live)
1,14,William Smallbone,Southampton,0.03,0.0,Blocked,23.0,Right Foot,,Jack Stephens,Pass (Live),Jan Bednarek,Pass (Live)
2,22,Adam Armstrong,Southampton,0.02,0.0,Off Target,28.0,Right Foot,,Taylor Harwood-Bellis,Pass (Live),Jack Stephens,Pass (Live)
3,24,Fabian Schär,Newcastle Utd,0.04,0.0,Blocked,16.0,Right Foot,,Anthony Gordon,Pass (Live),Jacob Murphy,Fouled
4,41,Ben Brereton,Southampton,0.2,0.0,Off Target,6.0,Head,,Yukinari Sugawara,Pass (Live),William Smallbone,Pass (Live)
5,45,Joelinton,Newcastle Utd,0.17,0.63,Goal,15.0,Left Foot,,Alexander Isak,Pass (Live),Alexander Isak,Interception
6,45+4,Joelinton,Newcastle Utd,0.05,0.0,Blocked,9.0,Head,,Lewis Hall,Pass (Dead),Anthony Gordon,Fouled
7,,,,,,,,,,,,,
8,50,Adam Armstrong,Southampton,0.49,0.0,Blocked,9.0,Right Foot,,Joe Aribo,Pass (Live),Samuel Edozie,Pass (Live)
9,50,Ben Brereton,Southampton,0.1,0.0,Blocked,8.0,Right Foot,,Adam Armstrong,Shot,,
10,51,Adam Armstrong,Southampton,0.05,0.08,Saved,18.0,Right Foot,,Ben Brereton,Pass (Live),,
11,62,William Smallbone,Southampton,0.08,0.0,Blocked,18.0,Right Foot,,Flynn Downes,Pass (Live),Kyle Walker-Peters,Pass (Live)
