,Unnamed: 0_level_0_Minute,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Squad,Unnamed: 3_level_0_xG,Unnamed: 4_level_0_PSxG,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 1_Event,SCA 2_Player,SCA 2_Event
11,33.0,Luke Shaw,Manchester Utd,0.03,,Off Target,19.0,Left Foot,,Bruno Fernandes,Pass (Live),Luke Shaw,Pass (Live)
12,34.0,Raphinha,Leeds United,0.05,,Blocked,20.0,Left Foot,,Patrick Bamford,Pass (Live),Stuart Dallas,Pass (Live)
13,36.0,Daniel James,Manchester Utd,0.1,,Off Target,13.0,Right Foot,,Luke Shaw,Pass (Live),Luke Shaw,Pass (Live)
14,42.0,Bruno Fernandes,Manchester Utd,0.02,,Blocked,32.0,Right Foot,,Daniel James,Pass (Live),Victor Lindelöf,Pass (Live)
15,45.0,Daniel James,Manchester Utd,0.09,0.28,Saved,17.0,Right Foot,,Paul Pogba,Pass (Live),Mason Greenwood,Pass (Live)
16,,,,,,,,,,,,,
17,49.0,Luke Ayling,Leeds United,0.02,0.57,Goal,27.0,Right Foot,,Stuart Dallas,Pass (Live),Junior Firpo,Pass (Dead)
18,52.0,Mason Greenwood,Manchester Utd,0.08,0.6,Goal,11.0,Left Foot,,Paul Pogba,Pass (Live),Luke Shaw,Pass (Live)
19,54.0,Bruno Fernandes,Manchester Utd,0.14,0.08,Goal,14.0,Left Foot,,Paul Pogba,Pass (Live),Fred,Pass (Live)
20,60.0,Bruno Fernandes,Manchester Utd,0.23,0.27,Goal,12.0,Right Foot,Volley,Victor Lindelöf,Pass (Live),Scott McTominay,Pass (Live)
21,68.0,Fred,Manchester Utd,0.18,0.07,Goal,11.0,Left Foot,,Paul Pogba,Pass (Live),Mason Greenwood,Pass (Live)
22,74.0,Mason Greenwood,Manchester Utd,0.02,,Off Target,26.0,Left Foot,,,,,
23,79.0,Tyler Roberts,Leeds United,0.01,,Off Target,29.0,Right Foot,Volley,,,,
24,80.0,Hélder Costa,Leeds United,0.01,,Off Target,23.0,Right Foot,Volley,Liam Cooper,Pass (Live),Hélder Costa,Fouled
25,86.0,Raphinha,Leeds United,0.21,,Off Target,14.0,Left Foot,,Tyler Roberts,Pass (Live),Robin Koch,Pass (Live)
26,87.0,Luke Ayling,Leeds United,0.03,,Off Target,17.0,Right Foot,Volley,Junior Firpo,Fouled,Raphinha,Pass (Live)
0,3.0,Allan,Everton,0.04,0.13,Saved,22.0,Right Foot,,Demarai Gray,Pass (Live),Allan,Pass (Live)
1,5.0,Adam Armstrong,Southampton,0.02,,Off Target,12.0,Head,,James Ward-Prowse,Pass (Dead),Che Adams,Fouled
2,10.0,Dominic Calvert-Lewin,Everton,0.2,,Off Target,6.0,Head,,Demarai Gray,Pass (Live),Séamus Coleman,Pass (Live)
3,22.0,Adam Armstrong,Southampton,0.57,0.96,Goal,15.0,Right Foot,,Che Adams,Pass (Live),Che Adams,Tackle
4,34.0,Lucas Digne,Everton,0.09,,Blocked,25.0,Left Foot,Free kick,Dominic Calvert-Lewin,Fouled,Demarai Gray,Pass (Live)
5,35.0,Dominic Calvert-Lewin,Everton,0.3,,Off Target,7.0,Head,,Andros Townsend,Pass (Live),Abdoulaye Doucouré,Pass (Live)
6,41.0,Adam Armstrong,Southampton,0.01,0.07,Saved,16.0,Left Foot,Volley,,,,
7,44.0,Lucas Digne,Everton,0.01,,Off Target,26.0,Left Foot,Volley,Mason Holgate,Pass (Live),Demarai Gray,Pass (Live)
8,,,,,,,,,,,,,
9,47.0,Richarlison,Everton,0.62,0.38,Goal,5.0,Left Foot,Volley,Andros Townsend,Pass (Live),,
10,51.0,Michael Keane,Everton,0.08,,Blocked,9.0,Left Foot,,Lucas Digne,Pass (Live),Séamus Coleman,Pass (Live)
11,51.0,Dominic Calvert-Lewin,Everton,0.21,0.4,Saved,3.0,Right Foot,Volley,Michael Keane,Shot,,
12,54.0,Abdoulaye Doucouré,Everton,0.04,,Blocked,10.0,Head,,Andros Townsend,Pass (Live),Abdoulaye Doucouré,Pass (Live)
13,72.0,Mohammed Salisu,Southampton,0.05,0.05,Saved,17.0,Left Foot,Volley,Romain Perraud,Pass (Live),Moussa Djenepo,Pass (Live)
14,74.0,Alex Iwobi,Everton,0.08,,Off Target,11.0,Right Foot,Volley,Séamus Coleman,Pass (Live),Abdoulaye Doucouré,Pass (Live)
15,76.0,Abdoulaye Doucouré,Everton,0.04,0.56,Goal,16.0,Right Foot,,Alex Iwobi,Pass (Live),Séamus Coleman,Pass (Live)
16,78.0,Oriol Romeu,Southampton,0.01,,Blocked,26.0,Right Foot,Volley,Moussa Djenepo,Pass (Live),Mohammed Salisu,Pass (Live)
17,81.0,Dominic Calvert-Lewin,Everton,0.37,0.65,Goal,6.0,Head,,Richarlison,Pass (Live),Alex Iwobi,Pass (Live)
18,85.0,Dominic Calvert-Lewin,Everton,0.07,,Off Target,15.0,Right Foot,,Lucas Digne,Pass (Live),Richarlison,Pass (Live)
19,87.0,Ibrahima Diallo,Southampton,0.19,,Blocked,7.0,Head,,James Ward-Prowse,Pass (Dead),Che Adams,Fouled
