,Unnamed: 0_level_0_Minute,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Squad,Unnamed: 3_level_0_xG,Unnamed: 4_level_0_PSxG,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 1_Event,SCA 2_Player,SCA 2_Event
0,7.0,Denis Odoi,Fulham,0.03,0.12,Saved,25.0,Left Foot,,Ivan Cavaleiro,Pass (Live),Neeskens Kebano,Pass (Live)
1,8.0,Granit Xhaka,Arsenal,0.06,,Off Target,17.0,Left Foot,,Pierre-Emerick Aubameyang,Pass (Live),Mohamed Elneny,Pass (Live)
2,8.0,Willian,Arsenal,0.74,0.96,Saved,5.0,Right Foot,,Granit Xhaka,Shot,,
3,8.0,Alexandre Lacazette,Arsenal,0.84,0.99,Goal,3.0,Left Foot,,Willian,Shot,,
4,10.0,Neeskens Kebano,Fulham,0.05,,Blocked,11.0,Right Foot,Volley,Ivan Cavaleiro,Pass (Live),Joe Bryan,Pass (Live)
5,21.0,Mohamed Elneny,Arsenal,0.09,,Blocked,16.0,Right Foot,,Alexandre Lacazette,Pass (Live),Willian,Pass (Live)
6,21.0,Granit Xhaka,Arsenal,0.04,,Off Target,21.0,Left Foot,Volley,Mohamed Elneny,Shot,,
7,27.0,Willian,Arsenal,0.13,,Woodwork,23.0,Right Foot,Free kick,Alexandre Lacazette,Fouled,Héctor Bellerín,Pass (Live)
8,37.0,Pierre-Emerick Aubameyang,Arsenal,0.09,0.22,Saved,11.0,Left Foot,,Granit Xhaka,Pass (Live),Gabriel Magalhães,Pass (Live)
9,,,,,,,,,,,,,
10,49.0,Gabriel Magalhães,Arsenal,0.31,0.15,Goal,6.0,Other,,Willian,Pass (Dead),Rob Holding,Pass (Live)
11,56.0,Aboubakar Kamara,Fulham,0.03,,Off Target,22.0,Right Foot,,Ivan Cavaleiro,Fouled,Ivan Cavaleiro,Pass (Live)
12,57.0,Pierre-Emerick Aubameyang,Arsenal,0.05,0.44,Goal,15.0,Right Foot,,Willian,Pass (Live),Mohamed Elneny,Pass (Live)
13,62.0,Granit Xhaka,Arsenal,0.06,,Blocked,29.0,Left Foot,Free kick,Willian,Fouled,Granit Xhaka,Pass (Live)
14,67.0,Aleksandar Mitrović,Fulham,0.03,0.03,Saved,23.0,Right Foot,,Andre-Frank Zambo Anguissa,Pass (Live),Joe Bryan,Pass (Live)
15,73.0,Granit Xhaka,Arsenal,0.03,,Blocked,24.0,Left Foot,,Willian,Pass (Dead),Pierre-Emerick Aubameyang,Fouled
16,78.0,Pierre-Emerick Aubameyang,Arsenal,0.09,,Blocked,8.0,Right Foot,,Héctor Bellerín,Pass (Live),Mohamed Elneny,Pass (Live)
17,78.0,Alexandre Lacazette,Arsenal,0.05,,Off Target,6.0,Head,,Nicolas Pépé,Pass (Dead),Pierre-Emerick Aubameyang,Shot
18,90.0,Bobby Reid,Fulham,0.01,,Off Target,45.0,Right Foot,,,,,
0,4,Jack Stephens,Southampton,0.07,0.09,Saved,10.0,Head,,James Ward-Prowse,Pass (Dead),Kyle Walker-Peters,Pass (Dead)
1,13,Wilfried Zaha,Crystal Palace,0.44,0.73,Goal,9.0,Right Foot,Volley,Andros Townsend,Pass (Live),James McCarthy,Interception
2,32,Danny Ings,Southampton,0.04,0.12,Saved,10.0,Head,,Kyle Walker-Peters,Pass (Live),William Smallbone,Pass (Live)
3,36,Cheikhou Kouyaté,Crystal Palace,0.15,0.09,Saved,11.0,Right Foot,,Andros Townsend,Pass (Dead),Wilfried Zaha,Fouled
4,,,,,,,,,,,,,
5,46,Nathan Redmond,Southampton,0.07,0.03,Saved,14.0,Right Foot,,Che Adams,Pass (Live),Danny Ings,Pass (Live)
6,53,Che Adams,Southampton,0.22,0.09,Saved,9.0,Right Foot,Volley,Jannik Vestergaard,Pass (Live),Ryan Bertrand,Pass (Dead)
7,56,Danny Ings,Southampton,0.07,,Blocked,15.0,Right Foot,Volley,Ryan Bertrand,Pass (Live),Oriol Romeu,Pass (Live)
8,57,Nathan Redmond,Southampton,0.06,,Off Target,13.0,Left Foot,,Danny Ings,Pass (Live),Che Adams,Pass (Live)
9,74,James Ward-Prowse,Southampton,0.06,,Off Target,27.0,Right Foot,Free kick,Danny Ings,Fouled,Nathan Redmond,Pass (Live)
10,75,Jordan Ayew,Crystal Palace,0.06,0.02,Saved,11.0,Head,,Luka Milivojević,Pass (Dead),Jordan Ayew,Fouled
11,80,James McArthur,Crystal Palace,0.05,,Off Target,10.0,Head,,Luka Milivojević,Pass (Dead),James McArthur,Pass (Live)
12,87,James Ward-Prowse,Southampton,0.06,,Off Target,30.0,Right Foot,Free kick,James Ward-Prowse,Fouled,,
13,90+5,Wilfried Zaha,Crystal Palace,0.41,,Off Target,11.0,Right Foot,,Wilfried Zaha,Take-On,James McArthur,Pass (Live)
14,90+5,Danny Ings,Southampton,0.25,0.08,Saved,10.0,Head,,Kyle Walker-Peters,Pass (Live),Oriol Romeu,Pass (Live)
0,3,Mohamed Salah,Liverpool,0.06,,Blocked,15.0,Left Foot,,Sadio Mané,Pass (Live),Jordan Henderson,Pass (Live)
1,4,Mohamed Salah (pen),Liverpool,0.79,0.91,Goal,13.0,Left Foot,,,Fouled,Mohamed Salah,Shot
2,7,Mohamed Salah,Liverpool,0.05,,Blocked,17.0,Left Foot,,Sadio Mané,Pass (Live),Mohamed Salah,Pass (Live)
3,12,Jack Harrison,Leeds United,0.07,0.18,Goal,18.0,Right Foot,,Jack Harrison,Take-On,Jack Harrison,Take-On
4,20,Virgil van Dijk,Liverpool,0.13,0.05,Goal,6.0,Head,,Andrew Robertson,Pass (Dead),,
5,25,Jordan Henderson,Liverpool,0.02,0.05,Saved,30.0,Right Foot,,Naby Keïta,Pass (Live),Sadio Mané,Pass (Live)
6,29,Naby Keïta,Liverpool,0.07,,Blocked,9.0,Right Foot,,Mohamed Salah,Take-On,Naby Keïta,Pass (Live)
7,30,Patrick Bamford,Leeds United,0.06,0.26,Goal,14.0,Right Foot,,Mateusz Klich,Pass (Live),Stuart Dallas,Pass (Live)
8,33,Mohamed Salah,Liverpool,0.06,0.48,Goal,15.0,Left Foot,,Sadio Mané,Fouled,Virgil van Dijk,Pass (Live)
9,40,Sadio Mané,Liverpool,0.06,,Blocked,17.0,Right Foot,,Georginio Wijnaldum,Pass (Live),Naby Keïta,Pass (Live)
10,40,Sadio Mané,Liverpool,0.06,,Blocked,16.0,Left Foot,,Sadio Mané,Shot,,
11,,,,,,,,,,,,,
12,49,Georginio Wijnaldum,Liverpool,0.09,0.04,Saved,13.0,Right Foot,,Sadio Mané,Pass (Live),Roberto Firmino,Pass (Live)
13,50,Patrick Bamford,Leeds United,0.03,,Blocked,30.0,Right Foot,,,,,
14,53,Mohamed Salah,Liverpool,0.08,,Blocked,10.0,Right Foot,,Trent Alexander-Arnold,Pass (Dead),Georginio Wijnaldum,Pass (Live)
15,53,Virgil van Dijk,Liverpool,0.03,,Off Target,13.0,Head,,Trent Alexander-Arnold,Pass (Dead),Mohamed Salah,Shot
16,60,Mohamed Salah,Liverpool,0.04,,Blocked,16.0,Left Foot,,Georginio Wijnaldum,Pass (Live),,
17,62,Sadio Mané,Liverpool,0.05,,Off Target,26.0,Right Foot,,Mohamed Salah,Pass (Live),Sadio Mané,Pass (Live)
18,66,Mateusz Klich,Leeds United,0.07,0.05,Goal,13.0,Right Foot,Volley,Hélder Costa,Pass (Live),Mateusz Klich,Pass (Live)
19,68,Sadio Mané,Liverpool,0.05,,Blocked,16.0,Right Foot,,Mohamed Salah,Pass (Live),Sadio Mané,Pass (Live)
20,71,Sadio Mané,Liverpool,0.05,,Blocked,24.0,Right Foot,,Sadio Mané,Take-On,Mohamed Salah,Pass (Live)
21,71,Mohamed Salah,Liverpool,0.05,,Off Target,18.0,Right Foot,Volley,Fabinho,Pass (Live),Andrew Robertson,Pass (Live)
22,76,Kalvin Phillips,Leeds United,0.05,,Off Target,35.0,Right Foot,Free kick,Jack Harrison,Fouled,,
23,78,Georginio Wijnaldum,Liverpool,0.07,,Blocked,16.0,Right Foot,,Mohamed Salah,Pass (Live),Curtis Jones,Pass (Live)
24,80,Mohamed Salah,Liverpool,0.03,,Blocked,24.0,Left Foot,,Curtis Jones,Pass (Live),,
25,85,Roberto Firmino,Liverpool,0.03,,Blocked,27.0,Left Foot,,Fabinho,Pass (Live),Curtis Jones,Pass (Live)
26,87,Roberto Firmino,Liverpool,0.07,,Blocked,14.0,Right Foot,,Sadio Mané,Pass (Live),Mohamed Salah,Pass (Live)
27,88,Mohamed Salah (pen),Liverpool,0.79,0.99,Goal,13.0,Left Foot,,Fabinho,Fouled,Roberto Firmino,Shot
28,90+1,Robin Koch,Leeds United,0.05,,Blocked,11.0,Head,,Kalvin Phillips,Pass (Live),Jamie Shackleton,Pass (Live)
0,4,Callum Wilson,Newcastle Utd,0.04,,Off Target,12.0,Head,,Jamal Lewis,Pass (Live),Allan Saint-Maximin,Pass (Live)
1,14,Angelo Ogbonna,West Ham,0.05,,Woodwork,11.0,Head,,Mark Noble,Pass (Dead),Michail Antonio,Fouled
2,17,Andy Carroll,Newcastle Utd,0.06,,Blocked,19.0,Right Foot,,Callum Wilson,Pass (Live),Jeff Hendrick,Pass (Live)
3,21,Callum Wilson,Newcastle Utd,0.07,,Off Target,12.0,Left Foot,Volley,Jamal Lewis,Pass (Live),Allan Saint-Maximin,Pass (Live)
4,23,Jonjo Shelvey,Newcastle Utd,0.05,,Blocked,32.0,Right Foot,Free kick,Isaac Hayden,Fouled,,
5,25,Andy Carroll,Newcastle Utd,0.03,,Off Target,14.0,Head,,Jonjo Shelvey,Pass (Dead),Jonjo Shelvey,Pass (Live)
6,27,Michail Antonio,West Ham,0.09,0.19,Saved,14.0,Right Foot,,Tomáš Souček,Pass (Live),,
7,29,Tomáš Souček,West Ham,0.06,,Off Target,10.0,Head,,Ryan Fredericks,Pass (Live),Tomáš Souček,Pass (Live)
8,31,Tomáš Souček,West Ham,0.03,,Blocked,25.0,Left Foot,,Michail Antonio,Pass (Live),Pablo Fornals,Pass (Live)
9,31,Jonjo Shelvey,Newcastle Utd,0.09,,Off Target,17.0,Right Foot,,Callum Wilson,Pass (Live),Isaac Hayden,Pass (Live)
